pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Terms,Terms_Contested
AEAAZ1778,4,0,1967,K. LAKKAPPA,,Mysore,TUMKUR,GEN,PSP,,115312,M,1,3,FALSE,FALSE,42.9,261,0.1,3,3
AEAAZ1778,5,0,1971,K. LAKKAPPA,,Mysore,TUMKUR,GEN,INC,PSP,240718,M,1,3,TRUE,TRUE,74.48,161779,50.05,3,3
AEAAZ1778,6,0,1977,K. LAKKAPPA,,Karnataka,TUMKUR,GEN,INC,INC,237086,M,1,3,FALSE,TRUE,57.65,66817,16.25,3,3
AEAP23017,6,0,1977,SULTAN SALAHUDDIN OWAISI,,Andhra_Pradesh,HYDERABAD,GEN,IND,,91227,M,2,1,FALSE,FALSE,26.85,4538,1.34,,1
AEAP25359,6,0,1977,P. V. NARSIMHA RAO,,Andhra_Pradesh,HANAMKONDA,GEN,INC,,231593,M,1,1,FALSE,FALSE,59.32,77683,19.9,1,1
AEAS194809,6,0,1977,GOLAP BORBORA,,Assam,DIBRUGARH,GEN,BLD,,105673,M,2,1,FALSE,FALSE,44.31,92734,38.88,,1
AEAS196425,6,0,1977,CHARAN NARZARY,,Assam,KOKRAJHAR,ST,IND,,186808,M,1,1,FALSE,FALSE,56.49,42903,12.97,1,1
AEAS196729,6,0,1977,JOGEN GOGOI,,Assam,JORHAT,GEN,CPI,,32081,M,3,1,FALSE,FALSE,10.65,0,0,,1
AEAS196781,6,0,1977,NAGENDRA NATH DAS,,Assam,DIBRUGARH,GEN,IND,,12939,M,3,1,FALSE,FALSE,5.43,0,0,,1
AEAS197542,4,0,1967,D. KALITA,,Assam,GAUHATI,GEN,CPI,,90208,M,1,3,FALSE,FALSE,34.52,1550,0.59,1,3
AEAS197542,5,0,1971,DHIRESWAR KALITA,,Assam,GAUHATI,GEN,CPI,CPI,44482,M,2,3,FALSE,TRUE,20.11,29292,13.24,1,3
AEAS197542,6,0,1977,DHIRESWAR KALITA,,Assam,GAUHATI,GEN,CPI,CPI,22135,M,3,3,FALSE,FALSE,7.79,0,0,1,3
AEBR47120,5,0,1971,JANARDAN TIWARI,,Bihar,SIWAN,GEN,BJS,,132573,M,2,2,FALSE,FALSE,43.32,125223,40.92,,2
AEBR47120,6,0,1977,JANARDAN TIWARY,,Bihar,SIWAN,GEN,IND,BJS,2064,M,5,2,FALSE,FALSE,0.48,51,0.01,,2
AEGJ100100,5,0,1971,NARSINHDAS GORDHANDAS GONDHIYA,,Gujarat,AMRELI,GEN,NCO,,86075,M,2,2,FALSE,FALSE,38.6,79337,35.58,,2
AEGJ100100,6,0,1977,GONDHIYA NARSINHDAS GORDHANDAS,,Gujarat,AMRELI,GEN,BLD,NCO,81580,M,2,2,TRUE,FALSE,31.63,58337,22.62,,2
AEGJ1117,6,0,1977,GAVIT RATANBHAI GOVINDBHAI,,Gujarat,BULSAR,ST,IND,,10960,M,3,1,FALSE,FALSE,3.46,0,0,,1
AEGJ11195,6,0,1977,VAGHELA SHANKARBHAI DESAIBHAI,,Gujarat,KAIRA,GEN,BLD,,170040,M,2,1,FALSE,FALSE,42.97,165572,41.84,,1
AEGJ114,6,0,1977,ADANI RATUBHAI MULSHANKER,,Gujarat,JUNAGADH,GEN,INC,,155714,M,2,1,FALSE,FALSE,48.17,0,0,,1
