pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Terms,Terms_Contested
AEAAZ1721,4,0,1967,H.S. RUDRAPPA,,Mysore,SHIMOGA,GEN,INC,,135208,M,2,1,FALSE,FALSE,45.61,0,0,,1
AEAAZ1729,4,0,1967,A. M. BASAVEGOWDA,,Mysore,CHIKMAGALUR,GEN,INC,,88589,M,2,1,FALSE,FALSE,35.85,44419,17.98,,1
AEAAZ1778,4,0,1967,K. LAKKAPPA,,Mysore,TUMKUR,GEN,PSP,,115312,M,1,1,FALSE,FALSE,42.9,261,0.1,1,1
AEAP18157,4,0,1967,G. LATCHANNA,,Andhra_Pradesh,SRIKAKULAM,GEN,SWA,,189771,M,1,1,FALSE,FALSE,56.37,60358,17.93,1,1
AEAP25651,4,0,1967,T. VISWANATHAM,,Andhra_Pradesh,VISAKHAPATNAM,GEN,IND,,136766,M,1,1,FALSE,FALSE,42.04,34073,10.47,1,1
AEAP26100,4,0,1967,P. PARTHASARATHY,,Andhra_Pradesh,RAJAMPET,GEN,INC,,189874,M,1,1,FALSE,FALSE,52.62,66549,18.44,1,1
AEAP26190,4,0,1967,S. R. NEELAM,,Andhra_Pradesh,HINDUPUR,GEN,INC,,144438,M,1,1,FALSE,FALSE,47.13,42236,13.78,1,1
AEAP26360,4,0,1967,G. VENKATSWAMY,SC,Andhra_Pradesh,SIDDIPET,SC,INC,,161273,M,1,1,FALSE,FALSE,52.05,97830,31.58,1,1
AEAS196941,4,2,1968,P.C.BASUMATARY,,Assam,KOKRAJHAR,ST,IND,,6863,,3,1,FALSE,FALSE,7.93,0,0,,1
AEAS197524,4,0,1967,F. A. AHMED,,Assam,BARPETA,GEN,INC,,173240,M,1,1,FALSE,FALSE,60.12,58320,20.24,1,1
AEAS197542,4,0,1967,D. KALITA,,Assam,GAUHATI,GEN,CPI,,90208,M,1,1,FALSE,FALSE,34.52,1550,0.59,1,1
AEAS197666,4,0,1967,K. BORBORUA,,Assam,JORHAT,GEN,IND,,42390,M,3,1,FALSE,FALSE,21.18,24937,12.46,,1
AEAS197704,4,0,1967,M. C. BARUA,,Assam,MANGALDAI,GEN,IND,,16522,M,4,1,FALSE,FALSE,7.79,0,0,,1
AEGJ1083,4,0,1967,J.D. CHAUHAN,,Gujarat,SURAT,GEN,IND,,40928,M,2,1,FALSE,FALSE,16.43,6335,2.54,,1
AEGJ130,4,0,1967,N.P. RAVANI,,Gujarat,BHAVNAGAR,GEN,PSP,,17963,M,4,1,FALSE,FALSE,7.79,0,0,,1
