pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Terms,Terms_Contested
AEAP1143,17,0,2019,ANUMULA REVANTH REDDY,GEN,Telangana,MALKAJGIRI,GEN,INC,,603748,M,1,1,FALSE,FALSE,38.63,10919,0.7,1,1
AEAP11626,16,0,2014,GUDIVADA AMARNADH,GEN,Andhra_Pradesh,ANAKAPALLI,GEN,YSRCP,,520531,M,2,3,FALSE,FALSE,45.34,502761,43.79,1,2
AEAP11626,16,0,2014,ADALA PRABHAKARA REDDY,GEN,Andhra_Pradesh,NELLORE,GEN,TDP,YSRCP,562918,M,2,3,TRUE,FALSE,47.4,540048,45.47,1,2
AEAP11626,17,0,2019,Adala Prabhakara Reddy,GEN,Andhra_Pradesh,NELLORE,GEN,YSRCP,TDP,683830,M,1,3,TRUE,FALSE,53.13,148571,11.54,1,2
AEAP15616,14,0,2004,ASADUDDIN OWAISI,GEN,Andhra_Pradesh,HYDERABAD,GEN,AIMIM,,378854,M,1,2,FALSE,FALSE,38.39,100145,10.15,2,2
AEAP15616,17,0,2019,ASADUDDIN OWAISI,GEN,Telangana,HYDERABAD,GEN,AIMIM,AIMIM,517471,M,1,2,FALSE,FALSE,58.95,282186,32.14,2,2
AEAP163,17,0,2019,BANALA LAXMA REDDY,GEN,Telangana,ZAHIRABAD,GEN,BJP,,138947,M,3,1,FALSE,FALSE,13.3,127807,12.24,,1
AEAP16401,14,1,2008,BOIANAPALLI VINOD KUMAR,GEN,Andhra_Pradesh,HANAMKONDA,GEN,TRS,,315310,M,1,4,FALSE,FALSE,41.1,55264,7.2,2,3
AEAP16401,16,0,2014,VINOD KUMAR BOINAPALLY,GEN,Telangana,KARIMNAGAR,GEN,TRS,TRS,505358,M,1,4,FALSE,FALSE,44.91,204652,18.19,2,3
AEAP16401,17,0,2019,Ashok Gajapathi Raju Pusapati,GEN,Andhra_Pradesh,VIZIANAGARAM,GEN,TDP,TRS,530382,M,2,4,TRUE,TRUE,43.55,496190,40.74,2,3
