pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Terms,Terms_Contested
AEAP12960,13,0,1999,Yerrannaidu Kinjarapu,GEN,Andhra_Pradesh,SRIKAKULAM,GEN,TDP,,373851,M,1,1,FALSE,FALSE,56.81,96882,14.72,1,1
AEAP15698,13,0,1999,Allaram Ratnaiah,,Andhra_Pradesh,MEDAK,GEN,MCPI(S),,10483,M,5,1,FALSE,FALSE,1.26,2235,0.27,,1
AEAP23017,6,0,1977,SULTAN SALAHUDDIN OWAISI,,Andhra_Pradesh,HYDERABAD,GEN,IND,,91227,M,2,7,FALSE,FALSE,26.85,4538,1.34,6,7
AEAP23017,8,0,1984,SULTAN SALAHUDDIN OWAISE,,Andhra_Pradesh,HYDERABAD,GEN,IND,IND,222187,M,1,7,FALSE,FALSE,38.13,3481,0.6,6,7
AEAP23017,9,0,1989,SULTAN SALAHUDDIN OWAISI,,Andhra_Pradesh,HYDERABAD,GEN,MIM,IND,403625,M,1,7,FALSE,TRUE,45.91,133078,15.14,6,7
AEAP23017,10,0,1991,SULTAN SALAHUDDIN OWAISI,,Andhra_Pradesh,HYDERABAD,GEN,MIM,MIM,454823,M,1,7,FALSE,TRUE,46.18,39524,4.01,6,7
AEAP23017,11,0,1996,SULTAN SALAHUDDIN OWAISI,,Andhra_Pradesh,HYDERABAD,GEN,AIMIM,MIM,321045,M,1,7,FALSE,TRUE,34.57,73273,7.89,6,7
AEAP23017,12,0,1998,SULTAN SALAHUDDIN OWAISI,,Andhra_Pradesh,HYDERABAD,GEN,AIMIM,AIMIM,485785,M,1,7,FALSE,TRUE,44.65,71612,6.58,6,7
AEAP23017,13,0,1999,Sultan Salahuddin Owaisi,,Andhra_Pradesh,HYDERABAD,GEN,AIMIM,AIMIM,448165,M,1,7,FALSE,TRUE,41.36,60821,5.61,6,7
AEAP8059,11,0,1996,BHUMA VENKATA NAGI REDDY,GEN,Andhra_Pradesh,NANDYAL,GEN,TDP,,267901,M,2,4,FALSE,FALSE,36.86,193823,26.67,3,3
AEAP8059,11,1,1996,Bhuma Nagi Reddy,GEN,Andhra_Pradesh,NANDYAL,GEN,TDP,TDP,567042,F,1,4,FALSE,FALSE,80.94,440150,62.83,3,3
AEAP8059,12,0,1998,BHUMA NAGI REDDY,GEN,Andhra_Pradesh,NANDYAL,GEN,TDP,TDP,338100,M,1,4,FALSE,TRUE,48.47,4650,0.67,3,3
AEAP8059,13,0,1999,Bhuma  Nagi Reddy,GEN,Andhra_Pradesh,NANDYAL,GEN,TDP,TDP,391655,M,1,4,FALSE,TRUE,53.68,72609,9.95,3,3
AEAR81856,12,0,1998,JARBOM GAMLIN,,Arunachal_Pradesh,ARUNACHAL WEST,GEN,INC,,58936,M,2,2,FALSE,FALSE,30.46,28449,14.71,1,2
AEAR81856,13,0,1999,Jarbom Gamlin,,Arunachal_Pradesh,ARUNACHAL WEST,GEN,INC,INC,131483,M,1,2,FALSE,FALSE,55.87,60723,25.8,1,2
AEAR82137,10,0,1991,CHAU KHOUK MANPOONG,,Arunachal_Pradesh,ARUNACHAL EAST,GEN,JD,,28712,M,2,2,FALSE,FALSE,24.57,17899,15.32,,2
AEAR82137,13,0,1999,Chau Khouk Manpoong,,Arunachal_Pradesh,ARUNACHAL EAST,GEN,AJBP,JD,10163,M,3,2,TRUE,FALSE,5.34,0,0,,2
AEAS187581,13,0,1999,Biren Mirdha,,Assam,KALIABOR,GEN,IND,,1625,M,7,1,FALSE,FALSE,0.21,109,0.01,,1
AEAS190015,13,0,1999,Parimal Suklabaidya,SC,Assam,KARIMGANJ,SC,BJP,,294540,M,2,1,FALSE,FALSE,43.33,260290,38.29,,1
AEAS191001,13,0,1999,Chittaranjan Suklabaidya,,Assam,SILCHAR,GEN,IND,,1338,M,5,1,FALSE,FALSE,0.23,103,0.02,,1
AEAS193608,10,0,1991,RONOJ PEGU,ST,Assam,LAKHIMPUR,GEN,IND,,89524,M,3,4,FALSE,FALSE,14.97,22541,3.77,,4
AEAS193608,11,0,1996,RONOJ PEGU,ST,Assam,LAKHIMPUR,GEN,IND,IND,93117,M,3,4,FALSE,FALSE,13.92,36219,5.41,,4
AEAS193608,12,0,1998,Ranoj Pegu,ST,Assam,LAKHIMPUR,GEN,IND,IND,102046,M,4,4,FALSE,FALSE,15.2,89554,13.34,,4
AEAS193608,13,0,1999,Ranoj Pegu,ST,Assam,LAKHIMPUR,GEN,IND,IND,89963,M,4,4,FALSE,FALSE,12.09,84436,11.35,,4
AEAS193957,11,0,1996,PANNA LAL OSWAL,,Assam,DHUBRI,GEN,BJP,,170985,M,3,3,FALSE,FALSE,21.79,115163,14.68,,3
