pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Terms,Terms_Contested
<<<<<<< HEAD
=======
AEAP11677,7,0,1980,PASALA PENCHALAIAH,,Andhra_Pradesh,TIRUPATHI,SC,INC(I),,241965,M,1,2,FALSE,FALSE,68.66,155306,44.07,1,2
AEAP11677,8,0,1984,PENCHALAIAH PASALA,,Andhra_Pradesh,TIRUPATHI,SC,INC,INC(I),283686,M,2,2,FALSE,TRUE,47.11,0,0,1,2
AEAP23017,6,0,1977,SULTAN SALAHUDDIN OWAISI,,Andhra_Pradesh,HYDERABAD,GEN,IND,,91227,M,2,2,FALSE,FALSE,26.85,4538,1.34,1,2
AEAP23017,8,0,1984,SULTAN SALAHUDDIN OWAISE,,Andhra_Pradesh,HYDERABAD,GEN,IND,IND,222187,M,1,2,FALSE,FALSE,38.13,3481,0.6,1,2
AEAP25359,6,0,1977,P. V. NARSIMHA RAO,,Andhra_Pradesh,HANAMKONDA,GEN,INC,,231593,M,1,4,FALSE,FALSE,59.32,77683,19.9,3,3
AEAP25359,7,0,1980,P. V. NARSIMHA RAO,,Andhra_Pradesh,HANAMKONDA,GEN,INC(I),INC,257961,M,1,4,FALSE,TRUE,65.9,162949,41.63,3,3
AEAP25359,8,0,1984,P.V. NARASIMHA RAO,,Andhra_Pradesh,HANAMKONDA,GEN,INC,INC(I),209564,M,2,4,FALSE,TRUE,41.63,191923,38.13,3,3
AEAP25359,8,0,1984,NARSIMHA RAO P. V.,,Maharashtra,RAMTEK,GEN,INC,INC,290905,M,1,4,FALSE,TRUE,65,185972,41.55,3,3
>>>>>>> master
AEAS196109,8,0,1985,BIJOY KRISHNA HANDIQUE,GEN,Assam,JORHAT,GEN,INC,,189787,M,2,1,FALSE,FALSE,37.57,177397,35.12,,1
AEAS197696,8,0,1985,NAMESWAR PEGU,,Assam,LAKHIMPUR,GEN,CPI,,81796,M,2,1,FALSE,FALSE,16.32,31687,6.32,,1
AEBR42443,7,0,1980,YOGESHWAR PRASAD 'YOGESH',,Bihar,DHANBAD,GEN,INC(I),,120974,M,2,2,FALSE,FALSE,30.4,42893,10.78,1,2
AEBR42443,8,0,1984,YOGESHWAR PRASAD YOGESH,,Bihar,CHATRA,GEN,INC,INC(I),211020,M,1,2,FALSE,FALSE,56.4,156542,41.84,1,2
AEBR47120,5,0,1971,JANARDAN TIWARI,,Bihar,SIWAN,GEN,BJS,,132573,M,2,3,FALSE,FALSE,43.32,125223,40.92,,3
AEBR47120,6,0,1977,JANARDAN TIWARY,,Bihar,SIWAN,GEN,IND,BJS,2064,M,5,3,FALSE,FALSE,0.48,51,0.01,,3
AEBR47120,8,0,1984,JANARDAN TIWARI,,Bihar,SIWAN,GEN,BJP,IND,112243,M,2,3,FALSE,FALSE,27.04,91276,21.99,,3
AEKA10092,8,0,1984,V. VENKATESH,,Karnataka,KOLAR,SC,JNP,,239562,M,1,1,FALSE,FALSE,51.92,44765,9.7,1,1
AEKA105737,8,0,1984,VISHWANATH REDDY,,Karnataka,RAICHUR,GEN,JNP,,154858,M,2,1,FALSE,FALSE,39.46,140566,35.82,,1
AEKA105805,6,0,1977,K. G. MAHESWARAPPA,,Karnataka,DAVANGERE,GEN,BLD,,152078,M,2,2,FALSE,FALSE,36.89,136113,33.02,,2
AEKA105805,8,0,1984,K. G. MAHESWARAPPA,,Karnataka,DAVANGERE,GEN,JNP,BLD,224262,M,2,2,TRUE,FALSE,41.82,216856,40.44,,2
AEKA105825,8,0,1984,K. H. RANGANATH,,Karnataka,CHITRADURGA,GEN,INC,,279146,M,1,1,FALSE,FALSE,52.3,56811,10.64,1,1
AEKA105879,8,0,1984,V. KRISHNA RAO,,Karnataka,CHIKBALLAPUR,GEN,INC,,282279,M,1,1,FALSE,FALSE,51.8,44314,8.13,1,1
AEKA106082,8,0,1984,AZEEZ SAIT,,Karnataka,DHARWAD SOUTH,GEN,INC,,257834,M,1,1,FALSE,FALSE,53.14,57607,11.87,1,1
AEKA106166,8,0,1984,K. B. MALLAPPA,,Karnataka,HASSAN,GEN,JNP,,233519,M,2,1,FALSE,FALSE,43.56,204727,38.19,,1
AEKA106324,7,0,1980,D.K. NAIKAR,,Karnataka,DHARWAD NORTH,GEN,INC(I),,208269,M,1,2,FALSE,FALSE,58.19,96694,27.01,2,2
AEKA106324,8,0,1984,NAIKAR DYAMAPPA KALLAPPA,,Karnataka,DHARWAD NORTH,GEN,INC,INC(I),229865,M,1,2,FALSE,TRUE,52.31,44851,10.21,2,2
AEKA107272,7,0,1980,VEERENDRA PATIL,,Karnataka,BAGALKOT,GEN,INC(I),,245812,M,1,2,FALSE,FALSE,59.65,153973,37.36,2,2
AEKA107272,8,0,1984,VEERENIRA PATIL,,Karnataka,GULBARGA,GEN,INC,INC(I),235751,M,1,2,FALSE,TRUE,58.75,95490,23.8,2,2
AEKA107531,7,0,1980,B.L. GOWDA,,Karnataka,CHITRADURGA,GEN,JNP,,105819,M,2,2,FALSE,FALSE,25.3,23485,5.61,,2
AEKA107531,8,0,1984,B. L. GOWDA,,Karnataka,CHITRADURGA,GEN,JNP,JNP,222335,M,2,2,FALSE,FALSE,41.66,206907,38.77,,2
AEKA107648,7,0,1980,C.M.S. SASTRY,,Karnataka,CHIKMAGALUR,GEN,INC(U),,56259,M,3,2,FALSE,FALSE,14.92,53874,14.29,,2
AEKA107648,8,0,1984,C. M. S. SASTRY,,Karnataka,CHIKMAGALUR,GEN,LKD,INC(U),5810,M,4,2,TRUE,FALSE,1.34,2278,0.52,,2
AEKA107666,7,0,1980,H.N. NANJEGOWDA,GEN,Karnataka,HASSAN,GEN,INC(I),,219969,M,1,2,FALSE,FALSE,49.2,94748,21.19,2,2
AEKA107666,8,0,1984,H. N. NANJEGOWDA,GEN,Karnataka,HASSAN,GEN,INC,INC(I),265488,M,1,2,FALSE,TRUE,49.52,31969,5.96,2,2
AEKA107865,8,0,1984,K. V. SHANKARAGOWDA,,Karnataka,MANDYA,GEN,JNP,,319176,M,1,1,FALSE,FALSE,58.55,120396,22.09,1,1
AEKA107872,4,1,1968,S.M.KRISHNA,,Mysore,MANDYA,GEN,PSP,,184054,M,1,4,FALSE,FALSE,59.85,63953,20.79,3,4
AEKA107872,5,0,1971,S. M. KRISHNA,,Mysore,MANDYA,GEN,INC,PSP,272174,M,1,4,TRUE,TRUE,71.22,162162,42.43,3,4
AEKA107872,7,0,1980,S.M. KRISHNA,,Karnataka,MANDYA,GEN,INC(I),INC,223675,M,1,4,FALSE,FALSE,52.02,115342,26.83,3,4
AEKA107872,8,0,1984,S. M. KRISHNA,,Karnataka,MANDYA,GEN,INC,INC(I),198780,M,2,4,FALSE,TRUE,36.47,191540,35.14,3,4
AEKA12079,8,0,1984,G. S. HEGDE AJJIBAL,,Karnataka,KANARA,GEN,JNP,,187866,M,2,1,FALSE,FALSE,39.82,164438,34.86,,1
AEKA13140,8,0,1984,K. P. SHANTHAMURTHY,,Karnataka,MYSORE,GEN,IND,,183144,M,2,1,FALSE,FALSE,40.44,177448,39.18,,1
