pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEBR1,16,0,2015,DHIRENDRA PRATAP SINGH ALIAS RINKU SINGH,Bihar,VALMIKI NAGAR,IND,,66860,M,1,1,FALSE,FALSE,36.17,33580,18.17,35,1,1
AEBR1001,16,0,2015,PRADIP KUMAR RAY,Bihar,PRANPUR,CPI(ML)(L),,873,M,21,1,FALSE,FALSE,0.49,35,0.02,28,,1
AEBR10016,13,0,2005,LAL BABU RAY,Bihar,MARHAURA,IND,,29424,M,1,4,FALSE,FALSE,36.84,10967,13.73,34,2,4
AEBR10016,14,0,2005,LAL BABU RAY,Bihar,MARHAURA,IND,IND,35628,M,1,4,FALSE,TRUE,42.14,22499,26.61,34,2,4
AEBR10016,15,0,2010,LAL BABU RAY,Bihar,MARHAURA,JD(U),IND,20750,M,2,4,FALSE,TRUE,20.88,6408,6.45,47,2,4
AEBR10016,16,0,2015,LAL BABU RAY,Bihar,MARHAURA,BJP,JD(U),49996,M,2,4,TRUE,FALSE,35.68,42736,30.5,52,2,4
AEBR10087,13,0,2005,CHHOTELAL RAI,Bihar,PARSA,JD(U),,33525,M,2,4,FALSE,FALSE,39.97,26052,31.06,48,2,4
AEBR10087,14,0,2005,CHHOTE LAL RAI,Bihar,PARSA,JD(U),JD(U),41284,M,1,4,FALSE,FALSE,48.02,10373,12.07,47,2,4
AEBR10087,15,0,2010,CHHOTELAL RAI,Bihar,PARSA,JD(U),JD(U),44828,M,1,4,FALSE,TRUE,44.32,4689,4.64,51,2,4
AEBR10087,16,0,2015,CHHOTELAL RAI,Bihar,PARSA,LJP,JD(U),34876,M,2,4,TRUE,TRUE,25.26,28846,20.89,56,2,4
AEBR10209,13,0,2005,ASHOK KUMAR SINGH,Bihar,PARU,BJP,,34060,M,2,4,FALSE,FALSE,32.22,23312,22.05,36,3,4
AEBR10209,14,0,2005,ASHOK KUMAR SINGH,Bihar,PARU,BJP,BJP,43569,M,1,4,FALSE,FALSE,42.68,3080,3.02,36,3,4
AEBR10209,15,0,2010,ASHOK KUMAR SINGH,Bihar,PAROO,BJP,BJP,53609,M,1,4,FALSE,TRUE,43.18,19027,15.33,36,3,4
AEBR10209,16,0,2015,ASHOK KUMAR SINGH,Bihar,PAROO,BJP,BJP,80445,M,1,4,FALSE,TRUE,48.21,13539,8.11,41,3,4
AEBR1024,16,0,2015,NEERAJ KUMAR,Bihar,BARARI,RJD,,71175,M,1,1,FALSE,FALSE,43.14,14336,8.69,45,1,1
AEBR10257,13,0,2005,MANOJ KUMAR SINGH,Bihar,KURHANI,JD(U),,29531,M,1,4,FALSE,FALSE,28.45,5952,5.73,32,3,4
AEBR10257,14,0,2005,MANOJ KUMAR SINGH,Bihar,KURHANI,JD(U),JD(U),43714,M,1,4,FALSE,TRUE,41.72,8390,8.01,32,3,4
AEBR10257,15,0,2010,MANOJ KUMAR SINGH,Bihar,KURHANI,JD(U),JD(U),36757,M,1,4,FALSE,TRUE,28.28,1570,1.21,40,3,4
AEBR10257,16,0,2015,MANOJ KUMAR SINGH,Bihar,KURHANI,JD(U),JD(U),61657,M,2,4,FALSE,TRUE,35.64,56952,32.92,46,3,4
AEBR1040,16,0,2015,PUNAM KUMARI ALIAS PUNAM PASWAN,Bihar,KORHA,INC,,78409,F,1,1,FALSE,FALSE,45.53,5426,3.15,36,1,1
AEBR10422,13,0,2005,SUNIL KUMAR ALIAS PINTU,Bihar,SITAMARHI,BJP,,51447,M,1,4,FALSE,FALSE,47.49,23764,21.93,43,3,4
AEBR10422,14,0,2005,SUNIL KUMAR ALIAS PINTU,Bihar,SITAMARHI,BJP,BJP,50973,M,1,4,FALSE,TRUE,46.06,21253,19.21,44,3,4
AEBR10422,15,0,2010,SUNIL KUMAR ALIAS PINTU,Bihar,SITAMARHI,BJP,BJP,51664,M,1,4,FALSE,TRUE,43.59,5221,4.4,49,3,4
AEBR10422,16,0,2015,SUNIL KUMAR ALIAS PINTU,Bihar,SITAMARHI,BJP,BJP,66835,M,2,4,FALSE,TRUE,40.66,63211,38.46,54,3,4
AEBR1055,16,0,2015,CHANDAN SINGH,Bihar,ALAMNAGAR,LJP,,44086,M,2,1,FALSE,FALSE,22.93,25167,13.09,35,,1
