pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms_Contested
AEWB108862,12,0,1996,SURAJIT MAHAPATRA,West_Bengal,BAGNAN,BJP,,5614,M,3,1,0,FALSE,FALSE,4.34,5155,3.99,,1
AEWB108867,12,0,1996,MAQSUD AHMED,West_Bengal,KALYANPUR,CPM,,54061,M,2,1,0,FALSE,FALSE,48.05,51646,45.9,,1
AEWB108868,12,0,1996,BALAI CHANDRA BASU,West_Bengal,KALYANPUR,BJP,,2415,M,3,1,0,FALSE,FALSE,2.15,2291,2.04,,1
AEWB108872,12,0,1996,PRATYUSH MUKHERJEE,West_Bengal,AMTA,CPM,,62001,M,1,1,1,FALSE,FALSE,53.47,10194,8.79,,1
AEWB108873,12,0,1996,PRASUN BAKULY,West_Bengal,AMTA,INC,,51807,M,2,1,0,FALSE,FALSE,44.68,49905,43.04,,1
AEWB108874,12,0,1996,TAPAN DHARA,West_Bengal,AMTA,BJP,,1902,M,3,1,0,FALSE,FALSE,1.64,1649,1.42,,1
AEWB108876,12,0,1996,NANIGOPAL CHOWDHURY,West_Bengal,UDAYNARAYANPUR,CPM,,64955,M,1,1,1,FALSE,FALSE,54.66,18853,15.87,,1
AEWB108877,12,0,1996,SYAMAL RANJAN KARAR,West_Bengal,UDAYNARAYANPUR,INC,,46102,M,2,1,0,FALSE,FALSE,38.8,40485,34.07,,1
AEWB108879,11,0,1991,SANAT HAZRA,West_Bengal,UDAYNARAYANPUR,BJP,,1989,M,3,2,0,FALSE,FALSE,1.84,1790,1.66,,2
AEWB108879,12,0,1996,SANAT HAZRA,West_Bengal,UDAYNARAYANPUR,BJP,BJP,1926,M,4,2,0,FALSE,FALSE,1.62,1697,1.43,,2
AEWB108882,10,0,1987,DWIPENDAR MUKHERJEE,West_Bengal,JANGIPARA,INC,,41506,M,2,2,0,FALSE,FALSE,43.42,40600,42.47,,2
AEWB108882,12,0,1996,DWIPEN MUKHERJEE,West_Bengal,JANGIPARA,INC,INC,57171,M,2,2,0,FALSE,FALSE,44.58,51653,40.28,,2
AEWB108883,12,0,1996,KANAI LAL HALDER,West_Bengal,JANGIPARA,BJP,,5518,M,3,1,0,FALSE,FALSE,4.3,5242,4.09,,1
AEWB108886,8,0,1977,MALIN GHOSH,West_Bengal,CHANDITALA,CPM,,37243,M,1,5,4,FALSE,FALSE,70.67,27723,52.61,,5
AEWB108886,9,0,1982,MALIN GHOSE,West_Bengal,CHANDITALA,CPM,CPM,47466,M,1,5,4,FALSE,TRUE,58.08,15329,18.76,,5
AEWB108886,10,0,1987,GHOSH MALIN,West_Bengal,CHANDITALA,CPM,CPM,55543,M,1,5,4,FALSE,TRUE,56.23,15096,15.28,,5
AEWB108886,11,0,1991,MALIN GHOSH,West_Bengal,CHANDITALA,CPM,CPM,57686,M,1,5,4,FALSE,TRUE,49.98,9380,8.13,,5
AEWB108886,12,0,1996,GHOSH MALIN,West_Bengal,CHANDITALA,CPM,CPM,70376,M,2,5,4,FALSE,TRUE,47.36,65109,43.82,,5
AEWB108887,12,0,1996,RUPEN GHOSH,West_Bengal,CHANDITALA,BJP,,5267,M,3,1,0,FALSE,FALSE,3.54,4805,3.23,,1
AEWB108889,12,1,1998,Bhakta Ram Pan,West_Bengal,CHANDITALA,CPM,,72610,M,1,1,1,FALSE,FALSE,52.7,15519,11.26,,1
AEWB108890,12,1,1998,Amit Mitra,West_Bengal,CHANDITALA,WBTC,,57091,M,2,1,0,FALSE,FALSE,41.44,49184,35.7,,1
AEWB108891,12,1,1998,Bikiran Banerjee,West_Bengal,CHANDITALA,INC,,7907,M,3,1,0,FALSE,FALSE,5.74,7746,5.62,,1
AEWB108893,12,0,1996,JYOTI KRISHNA CHATTAPADHYAY,West_Bengal,UTTARPARA,CPM,,75680,M,1,1,1,FALSE,FALSE,48.84,5751,3.71,,1
AEWB108894,12,0,1996,PABITRA GUPTA,West_Bengal,UTTARPARA,INC,,69929,M,2,1,0,FALSE,FALSE,45.13,61631,39.77,,1
AEWB108895,12,0,1996,RADHA BHAUMIK,West_Bengal,UTTARPARA,BJP,,8298,F,3,1,0,FALSE,FALSE,5.36,7570,4.89,,1
AEWB108898,12,0,1996,JYOTI CHOWDHURY,West_Bengal,SERAMPORE,INC,,55923,M,1,1,1,FALSE,FALSE,49.81,15912,14.17,,1
AEWB108899,8,0,1977,ASIMESH GOSWAMI,West_Bengal,CHAMPDANI,CPI,,3102,M,4,2,0,FALSE,FALSE,5.62,2650,4.8,,2
AEWB108899,12,0,1996,ASIMES GOSWAMI,West_Bengal,SERAMPORE,CPM,CPI,40011,M,2,2,0,TRUE,FALSE,35.64,31754,28.29,,2
AEWB108900,12,0,1996,SHIB MURTI TRIPATHI,West_Bengal,SERAMPORE,BJP,,8257,M,3,1,0,FALSE,FALSE,7.35,1734,1.54,,1
AEWB108909,12,0,1996,RAMESH KUMAR GUPTA,West_Bengal,CHAMPDANI,BJP,,12050,M,3,1,0,FALSE,FALSE,7.82,11038,7.16,,1
AEWB108925,12,0,1996,SOUMYA CHATTERJEE,West_Bengal,SINGUR,BJP,,4980,M,3,1,0,FALSE,FALSE,3.8,4646,3.54,,1
AEWB108930,12,0,1996,KALI PRASAD BISWAS,West_Bengal,HARIPAL,CPM,,63998,M,1,1,1,FALSE,FALSE,52.91,10907,9.02,,1
AEWB108931,12,0,1996,SAMIRAN MITRA,West_Bengal,HARIPAL,INC,,53091,M,2,1,0,FALSE,FALSE,43.89,49981,41.32,,1
