pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEML343,2,0,1978,FLINDER ANDERSON KHONGLAM,,Meghalaya,SOHRA,HPD,,2142,M,2,7,FALSE,FALSE,30.49,640,9.11,,4,7
AEML343,3,0,1983,FLINDER ANDERSON KLONGLAM,,Meghalaya,SOHRA,HPD,HPD,3108,M,1,7,FALSE,FALSE,39.89,200,2.57,,4,7
AEML343,4,0,1988,FLINDER ANDERSON KHONGLAM,,Meghalaya,SOHRA,INC,HPD,3951,M,2,7,TRUE,TRUE,41.48,3337,35.04,,4,7
AEML343,5,0,1993,FLINDER ANDERSON KHONGLAM,,Meghalaya,SOHRA,IND,INC,4731,M,1,7,FALSE,FALSE,39.95,1272,10.74,,4,7
AEML343,6,0,1998,FLINDER ANDERSON KHONGLAM,,Meghalaya,SOHRA,IND,IND,4221,M,1,7,FALSE,TRUE,38.76,1104,10.14,,4,7
AEML343,7,0,2003,DR. FLINDER ANDERSON KHONGLAM,,Meghalaya,SOHRA,HPDP,IND,4093,M,1,7,FALSE,TRUE,32.17,557,4.38,,4,7
AEML343,8,0,2008,DR. FLINDER ANDERSON KHONGLAM,ST,Meghalaya,SOHRA,HSPDP,HPDP,3924,M,3,7,TRUE,TRUE,25.28,1456,9.38,63,4,7
AEML353,8,0,2008,J. ANTONIUS LYNGDOH,ST,Meghalaya,NONGSPUNG,UDP,,7896,M,1,1,FALSE,FALSE,41.79,747,3.95,52,1,1
AEML355,2,0,1978,D.PALASLANDING IANGJUH,,Meghalaya,MAWSYNRAM,IND,,1260,M,2,7,FALSE,FALSE,19.07,66,1,,2,7
AEML355,3,0,1983,D. PLASLANDING LANGJUH,,Meghalaya,MAWSYNRAM,HPD,IND,1986,M,2,7,FALSE,FALSE,26.39,1207,16.04,,2,7
AEML355,4,0,1988,D.P. IANGJUH,,Meghalaya,MAWSYNRAM,HPU,HPD,3103,M,2,7,TRUE,FALSE,31.78,1653,16.93,,2,7
AEML355,5,0,1993,D. PLASLANDING IANGJUH,,Meghalaya,MAWSYNRAM,IND,HPU,4143,M,2,7,FALSE,FALSE,32.86,2146,17.02,,2,7
AEML355,6,0,1998,D.PLASLANDING IANGJUH,,Meghalaya,MAWSYNRAM,UDP,IND,4492,M,1,7,FALSE,FALSE,35.79,1978,15.76,,2,7
AEML355,7,0,2003,SHRI. D.PLASLANDING IANGJUH,,Meghalaya,MAWSYNRAM,MDP,UDP,5467,M,1,7,TRUE,TRUE,41.16,760,5.72,,2,7
AEML355,8,0,2008,D. PLASLANDING IANGJUH,ST,Meghalaya,MAWSYNRAM,UDP,MDP,4340,M,3,7,TRUE,TRUE,27.13,3300,20.63,63,2,7
AEML399,8,0,2008,RONNIE V. LYNGDOH,ST,Meghalaya,MYLLIEM,INC,,9130,M,1,1,FALSE,FALSE,47.45,1416,7.36,48,1,1
AEML414,7,0,2003,SHRI. CHARLES PYNGROPE,,Meghalaya,SOHRYNGKHAM,INC,,4388,M,1,2,FALSE,FALSE,28.93,227,1.5,,2,2
