pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEWB100246,16,0,2016,KESHAB CHANDRA RAY,SC,West_Bengal,SITAI,INC,INC,78159,M,2,3,FALSE,TRUE,35.82,50350,23.07,62,1,3
AEWB100246,17,0,2021,KESHAB CHANDRA RAY,,West_Bengal,SITAI,INC,INC,,M,,3,FALSE,FALSE,,0,,68,1,3
AEWB100251,14,0,2006,UDAYAN GUHA,GEN,West_Bengal,DINHATA,AIFB,,63144,M,2,4,FALSE,FALSE,43.07,56782,38.73,51,2,4
AEWB100251,15,0,2011,UDAYAN GUHA,GEN,West_Bengal,DINHATA,AIFB,AIFB,93050,M,1,4,FALSE,FALSE,50.52,30026,16.3,56,2,4
AEWB100251,16,0,2016,UDAYAN GUHA,GEN,West_Bengal,DINHATA,AITC,AIFB,100732,M,1,4,TRUE,TRUE,45.04,21793,9.74,61,2,4
AEWB100251,17,0,2021,UDAYAN GUHA,,West_Bengal,DINHATA,AITC,AITC,,M,,4,FALSE,TRUE,,0,,66,2,4
AEWB100252,13,0,2001,AKSHOY THAKUR,,West_Bengal,COOCH BEHAR WEST,FBL,,74713,M,1,5,FALSE,FALSE,54.67,30879,22.59,,3,5
AEWB100252,14,0,2006,AKSHAY THAKUR,GEN,West_Bengal,COOCH BEHAR WEST,AIFB,FBL,79273,M,1,5,TRUE,TRUE,51.07,26686,17.19,56,3,5
AEWB100252,15,0,2011,AKSHAY THAKUR,GEN,West_Bengal,COOCH BEHAR DAKSHIN,AIFB,AIFB,72028,M,1,5,FALSE,TRUE,47.04,2863,1.87,58,3,5
AEWB100252,16,0,2016,AKSHAY THAKUR,GEN,West_Bengal,DINHATA,AIFB,AIFB,78939,M,2,5,FALSE,TRUE,35.3,53341,23.85,66,3,5
AEWB100252,17,0,2021,AKSHAY THAKUR,,West_Bengal,COOCH BEHAR DAKSHIN,AIFB,AIFB,,M,,5,FALSE,FALSE,,0,,71,3,5
AEWB100259,16,0,2016,PRADIP ROY,SC,West_Bengal,DINHATA,SUCI,,730,M,10,2,FALSE,FALSE,0.33,0,0,40,,2
AEWB100259,17,0,2021,PRADIP ROY,,West_Bengal,DINHATA,SUCI,SUCI,,M,,2,FALSE,FALSE,,0,,45,,2
AEWB100264,16,0,2016,BABLA DEB,GEN,West_Bengal,NATABARI,AMB,,1678,M,5,2,FALSE,FALSE,0.84,105,0.05,27,,2
