pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEPY83782,2,0,1969,A.M. HAMEED MARICAR,,Puducherry,KARIKAL NORTH,IND,,3873,M,2,1,FALSE,FALSE,47.93,0,0,,,1
AEPY83783,2,0,1969,MARIE LOURDES SILVARADJOU,,Puducherry,KARIKAL SOUTH,DMK,,2439,M,1,1,FALSE,FALSE,50.91,398,8.31,,1,1
AEPY83784,2,0,1969,N.M. MOHAMED YUSSOUF,,Puducherry,KARIKAL SOUTH,INC,,2041,M,2,1,FALSE,FALSE,42.6,1730,36.11,,,1
AEPY83787,2,0,1969,M. KALIAPPA NAICKER,,Puducherry,NERAVY,INC,,2951,M,2,1,FALSE,FALSE,46.12,0,0,,,1
AEPY83789,2,0,1969,G. MUTHUKRISHNAN,,Puducherry,GRANDI ALDEE,IND,,1026,M,2,1,FALSE,FALSE,18.86,465,8.55,,,1
AEPY83790,2,0,1969,V. GANABADHIAPILLAI,,Puducherry,GRANDI ALDEE,INC,,561,M,3,1,FALSE,FALSE,10.31,0,0,,,1
AEPY83791,2,0,1969,R. SUPPRAYALU NAICKER,,Puducherry,TIRNOULAR,DMK,,3455,M,1,1,FALSE,FALSE,54.12,641,10.04,,1,1
AEPY83792,2,0,1969,V. ARUNASALAM,,Puducherry,TIRNOULAR,INC,,2814,M,2,1,FALSE,FALSE,44.08,2699,42.28,,,1
AEPY83795,2,0,1969,A. SAVUNDARARANGAN,,Puducherry,NEDOUNCADOU,DMK,,3083,M,2,1,FALSE,FALSE,49.84,0,0,,,1
AEPY83796,2,0,1969,I.K. KUMARAN,,Puducherry,MAHE,IND,,2885,M,1,1,FALSE,FALSE,59.33,907,18.65,,1,1
AEPY83797,1,0,1964,VALAVIL KESHAVAN,,Puducherry,MAHE,CONG,,2283,M,1,2,FALSE,FALSE,50.14,13,0.29,,1,2
AEPY83797,2,0,1969,VALAVIL KESAVAN,,Puducherry,MAHE,INC,CONG,1978,M,2,2,TRUE,TRUE,40.67,0,0,,1,2
AEPY83799,2,0,1969,PONDEATTE ANANDIN,,Puducherry,PALLOUR,IND,,1248,M,2,1,FALSE,FALSE,32.36,0,0,,,1
AEPY83801,2,0,1969,YARRA ZAGANNADHARAO,,Puducherry,YANAON,INC,,1829,M,2,1,FALSE,FALSE,44.44,0,0,,,1
AEPY83805,1,0,1964,MURUGAIAN. K.,,Puducherry,MUTHIALPET,IND,,882,M,4,2,FALSE,FALSE,16.89,709,13.58,,1,2
AEPY83805,2,0,1969,K. MURUGAIYAN,,Puducherry,MOUTTALPETH,DMK,IND,3290,M,1,2,FALSE,FALSE,55.52,654,11.04,,1,2
AEPY83817,1,0,1964,ACHREAFF C.M.,,Puducherry,BUSSY,IND,,2367,M,1,2,FALSE,FALSE,62.72,1578,41.81,,2,2
AEPY83817,2,0,1969,C.M. ACHARAFF,,Puducherry,BUSSY,DMK,IND,2336,M,1,2,FALSE,TRUE,75.94,1596,51.89,,2,2
AEPY83837,1,0,1964,VENKATASUBBAREDDY,,Puducherry,NETTAPACOM,CONG,,4965,M,1,2,FALSE,FALSE,83.54,3987,67.09,,1,2
AEPY83837,2,0,1969,V. VENKATASUBBA REDDIAR,,Puducherry,NETTAPACOM,INC,CONG,3393,M,2,2,TRUE,TRUE,48.9,0,0,,1,2
AEPY83843,1,0,1964,"SUBBARAYAN, M.",,Puducherry,MANNADIPET,IND,,1049,M,3,2,FALSE,FALSE,16,515,7.86,,1,2
