pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEMN199855,7,0,1995,OKRAM IBOBI SINGH,,Manipur,KHANGABO,INC,INC,6884,M,2,7,FALSE,TRUE,34.32,1731,8.63,,5,6
AEMN199855,9,0,2002,OKRAM IBOBI SINGH,,Manipur,KHANGABO,INC,INC,12897,M,1,7,FALSE,FALSE,53.54,2330,9.67,,5,6
AEMN199855,10,0,2007,SHRI OKRAM IBOBI SINGH,GEN,Manipur,THOUBAL,INC,INC,17393,M,1,7,FALSE,TRUE,72.86,11077,46.4,55,5,6
AEMN199855,10,0,2007,SHRI OKRAM IBOBI SINGH,GEN,Manipur,KHANGABOK,INC,INC,16782,M,1,7,FALSE,TRUE,62.98,7098,26.64,55,5,6
AEMN199855,11,0,2012,OKRAM IBOBI SINGH,GEN,Manipur,THOUBAL,INC,INC,19121,M,1,7,FALSE,TRUE,82.97,15453,67.05,63,5,6
AEMN199862,5,0,1984,MA YENGBAM MANIHAR,,Manipur,WABGAI,IND,,3046,M,1,6,FALSE,FALSE,20.82,92,0.63,,2,6
AEMN199862,6,0,1990,MAYENGBAM MANIHAR,,Manipur,WABGAI,INC,IND,4757,M,1,6,FALSE,TRUE,27.78,204,1.19,,2,6
AEMN199862,7,0,1995,MAYANGLAMBAM MANIHAR SINGH,,Manipur,WABGAI,INC,INC,4861,M,2,6,FALSE,TRUE,27.45,1631,9.21,,2,6
AEMN199862,9,0,2002,MAYENGBAM MANIHAR SINGH,,Manipur,WABGAI,MSCP,INC,7496,M,2,6,TRUE,FALSE,38.09,2870,14.58,,2,6
AEMN199862,10,0,2007,SHRI MAYENGBAM MANIHAR SINGH,GEN,Manipur,WABGAI,MSCP,MSCP,6702,M,2,6,FALSE,FALSE,30.6,1315,6,68,2,6
AEMN199862,11,0,2012,MAYENGBAM MANIHAR SINGH,GEN,Manipur,WABGAI,NCP,MSCP,6085,M,3,6,TRUE,FALSE,26.57,5960,26.02,74,2,6
AEMN200179,4,0,1980,KHUNUJAM AMUTOMBI,,Manipur,MAYANG IMPHAL,INC(I),,4569,M,1,4,FALSE,FALSE,36.51,1774,14.17,,3,4
AEMN200179,5,0,1984,KHUMUKCHAM AMUTOMBI,,Manipur,MAYANG IMPHAL,INC,INC(I),4957,M,2,4,TRUE,TRUE,33.03,462,3.08,,3,4
AEMN200179,10,0,2007,DR. KHUMUJAM RATAN KUMAR SINGH,GEN,Manipur,MAYANG IMPHAL,INC,INC,8265,M,1,4,FALSE,FALSE,37.99,993,4.56,45,3,4
