pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AETN188478,10,0,2011,CHANDHIRAKUMAR V.C,GEN,Tamil_Nadu,ERODE,DMDK,DMDK,69166,M,1,3,FALSE,FALSE,50.83,10644,7.82,44,,1,3
AETN188478,11,0,2016,CHANDHIRAKUMAR V C,GEN,Tamil_Nadu,ERODE,DMK,DMDK,57085,M,2,3,TRUE,TRUE,38.57,50309,33.99,49,,1,3
AETN188506,11,0,2016,SIVASUBRAMANI V.P.,GEN,Tamil_Nadu,MODAKURICHI,ADMK,,77067,M,1,1,FALSE,FALSE,43.62,2222,1.26,56,,1,1
AETN188507,11,0,2016,SACHIDANANDAM P.,GEN,Tamil_Nadu,MODAKURICHI,DMK,,74845,M,2,1,FALSE,FALSE,42.36,69238,39.19,59,,,1
AETN188519,11,0,2016,KALIMUTHU. V.S,SC,Tamil_Nadu,DHARAPURAM,INC,,83538,M,1,1,FALSE,FALSE,45.67,10017,5.48,55,,1,1
AETN188520,10,0,2011,PONNUSAMY.K,SC,Tamil_Nadu,DHARAPURAM,ADMK,,83856,M,1,2,FALSE,FALSE,51.68,15025,9.26,57,,1,2
AETN188520,11,0,2016,PONNUSAMY. K,SC,Tamil_Nadu,DHARAPURAM,ADMK,ADMK,73521,M,2,2,FALSE,TRUE,40.19,65768,35.96,62,,1,2
AETN188533,10,0,2011,THANIYARASU.U,GEN,Tamil_Nadu,PARAMATHI-VELUR,ADMK,,82682,M,1,2,FALSE,FALSE,54.5,31018,20.45,44,,2,2
AETN188533,11,0,2016,THANIYARASU U,GEN,Tamil_Nadu,KANGAYAM,ADMK,ADMK,83325,M,1,2,FALSE,TRUE,45.18,13135,7.12,49,,2,2
AETN188548,10,0,2011,VENKATACHALAM.N.D,GEN,Tamil_Nadu,PERUNDURAI,ADMK,,89960,M,1,2,FALSE,FALSE,60.15,42167,28.19,47,,2,2
AETN188548,11,0,2016,VENKATACHALAM.N.D,GEN,Tamil_Nadu,PERUNDURAI,ADMK,ADMK,80292,M,1,2,FALSE,TRUE,44.05,12771,7.01,52,,2,2
AETN188549,11,0,2016,SAMY.K.P (A) MOHANASUNDARAM.P,GEN,Tamil_Nadu,PERUNDURAI,DMK,,67521,M,2,1,FALSE,FALSE,37.05,52976,29.07,55,,,1
AETN188569,8,0,2001,KARUPPANNAN. K.C.,,Tamil_Nadu,BHAVANI,ADMK,,64405,M,1,3,FALSE,FALSE,58.2,32859,29.69,,,2,3
AETN188569,9,0,2006,KARUPPANAN.K.C,GEN,Tamil_Nadu,BHAVANI,ADMK,ADMK,47500,M,2,3,FALSE,TRUE,37.52,30499,24.09,49,,2,3
AETN188569,11,0,2016,KARUPPANAN K C,GEN,Tamil_Nadu,BHAVANI,ADMK,ADMK,85748,M,1,3,FALSE,FALSE,45.38,24887,13.17,58,,2,3
AETN188570,11,0,2016,SIVAKUMAR N,GEN,Tamil_Nadu,BHAVANI,DMK,,60861,M,2,1,FALSE,FALSE,32.21,40134,21.24,43,,,1
AETN188584,11,0,2016,E.M.R.RAJA ALIAS RAJAKRISHNAN.K.R,GEN,Tamil_Nadu,ANTHIYUR,ADMK,,71575,M,1,1,FALSE,FALSE,42.21,5312,3.13,47,,1,1
AETN188585,11,0,2016,VENKATACHALAM A G,GEN,Tamil_Nadu,ANTHIYUR,DMK,,66263,M,2,1,FALSE,FALSE,39.07,54693,32.25,55,,,1
AETN188602,11,0,2016,SARAVANAN S.V,GEN,Tamil_Nadu,GOBICHETTIPALAYAM,INC,,84954,M,2,1,FALSE,FALSE,41.52,77423,37.84,51,,,1
AETN188615,11,0,2016,ESWARAN.S,SC,Tamil_Nadu,BHAVANISAGAR,ADMK,,83006,M,1,1,FALSE,FALSE,42.23,13104,6.67,39,,1,1
AETN188616,11,0,2016,SATHYA.R,SC,Tamil_Nadu,BHAVANISAGAR,DMK,,69902,F,2,1,FALSE,FALSE,35.56,41937,21.34,28,,,1
AETN188628,10,0,2011,GANESH.R,GEN,Tamil_Nadu,UDHAGAMANDALAM,INC,,54060,M,2,2,FALSE,FALSE,44.07,51344,41.85,47,,1,2
AETN188628,11,0,2016,GANESH R.,GEN,Tamil_Nadu,UDHAGAMANDALAM,INC,INC,67747,M,1,2,FALSE,FALSE,48.34,10418,7.43,53,,1,2
AETN188629,11,0,2016,VINOTH,GEN,Tamil_Nadu,UDHAGAMANDALAM,ADMK,,57329,M,2,1,FALSE,FALSE,40.9,51511,36.75,33,,,1
AETN188638,11,0,2016,THIRAVIDAMANIM.,SC,Tamil_Nadu,GUDALUR,DMK,,62128,M,1,1,FALSE,FALSE,47.39,13379,10.21,56,,1,1
AETN188646,11,0,2016,RAMU A.,GEN,Tamil_Nadu,COONOOR,ADMK,,61650,M,1,1,FALSE,FALSE,45.71,3710,2.75,52,,1,1
AETN188647,7,0,1996,"MUBARAK, B.M.",,Tamil_Nadu,GUDALUR,DMK,,73565,M,1,2,FALSE,FALSE,59.43,45905,37.08,,,1,2
AETN188647,11,0,2016,MUBARAK B. M.,GEN,Tamil_Nadu,COONOOR,DMK,DMK,57940,M,2,2,FALSE,FALSE,42.96,53951,40,60,,1,2
AETN188660,11,0,2016,SURENDRAN. S.,GEN,Tamil_Nadu,METTUPALAYAM,DMK,,77481,M,2,1,FALSE,FALSE,36.76,64157,30.44,45,,,1
AETN188676,10,0,2011,DHANAPAL.P,SC,Tamil_Nadu,RASIPURAM,ADMK,,90186,M,1,2,FALSE,FALSE,55.6,24717,15.24,59,,2,2
AETN188676,11,0,2016,DHANAPAL P,SC,Tamil_Nadu,AVANASHI,ADMK,ADMK,93366,M,1,2,FALSE,TRUE,48.11,30674,15.81,64,,2,2
AETN188677,11,0,2016,ANANDHAN E,SC,Tamil_Nadu,AVANASHI,DMK,,62692,M,2,1,FALSE,FALSE,32.31,47676,24.57,47,,,1
AETN188691,11,0,2016,VIJAYAKUMAR KN,GEN,Tamil_Nadu,TIRUPPUR,ADMK,,106717,M,1,1,FALSE,FALSE,48.56,37774,17.19,59,,1,1
AETN188709,11,0,2016,GUNASEKARAN S,GEN,Tamil_Nadu,TIRUPPUR,ADMK,,73351,M,1,1,FALSE,FALSE,44.68,15933,9.71,47,,1,1
AETN188740,11,0,2016,KANAGARAJ R.,GEN,Tamil_Nadu,SULUR,ADMK,,100977,M,1,1,FALSE,FALSE,47.38,36631,17.19,64,,1,1
AETN188741,11,0,2016,MANOHARAN V.M.C.,GEN,Tamil_Nadu,SULUR,INC,,64346,M,2,1,FALSE,FALSE,30.19,50829,23.85,52,,,1
AETN188753,11,0,2016,PAYYA GOUNDER @ KRISHNAN R.,GEN,Tamil_Nadu,KAVUNDAMPALAYAM,DMK,,102845,M,2,1,FALSE,FALSE,37.76,80401,29.52,59,,,1
AETN188773,11,0,2016,ARUN KUMAR P.R.G.,GEN,Tamil_Nadu,COIMBATORE NORTH,ADMK,,77540,M,1,1,FALSE,FALSE,41.05,7724,4.09,54,,1,1
AETN188774,11,0,2016,S.MEENALOGU,GEN,Tamil_Nadu,COIMBATORE NORTH,DMK,,69816,F,2,1,FALSE,FALSE,36.96,53075,28.1,42,,,1
AETN188788,11,0,2016,VELUMANIS.P.,GEN,Tamil_Nadu,THONDAMUTHUR,ADMK,,109519,M,1,1,FALSE,FALSE,55.01,64041,32.17,46,,1,1
AETN188789,11,0,2016,KOVAI SYED @ SYED MOHAMMEDM.A.,GEN,Tamil_Nadu,THONDAMUTHUR,MAMAK,,45478,M,2,1,FALSE,FALSE,22.84,26435,13.28,47,,,1
AETN188805,11,0,2016,ARJUNAN @ AMMAN ARJUNANK.,GEN,Tamil_Nadu,COIMBATORE SOUTH,ADMK,,59788,M,1,1,FALSE,FALSE,38.94,17419,11.35,58,,1,1
AETN188806,11,0,2016,MAYURA JAYAKUMARS.,GEN,Tamil_Nadu,COIMBATORE SOUTH,INC,,42369,M,2,1,FALSE,FALSE,27.6,9256,6.03,42,,,1
AETN188824,11,0,2016,KARTHIK N.,GEN,Tamil_Nadu,SINGANALLUR,DMK,,75459,M,1,1,FALSE,FALSE,40.02,5180,2.75,52,,1,1
AETN188825,11,0,2016,SINGAI MUTHU N.,GEN,Tamil_Nadu,SINGANALLUR,ADMK,,70279,M,2,1,FALSE,FALSE,37.28,53674,28.47,67,,,1
AETN188842,11,0,2016,KURICHI PRABHAKARAN,GEN,Tamil_Nadu,KINATHUKADAVU,DMK,,87710,M,2,1,FALSE,FALSE,42.17,76356,36.71,41,,,1
AETN188868,11,0,2016,KASTHURI VASU V.,SC,Tamil_Nadu,VALPARAI,ADMK,,69980,F,1,1,FALSE,FALSE,48.68,8244,5.74,57,,1,1
AETN188869,11,0,2016,PAULPANDI T.,SC,Tamil_Nadu,VALPARAI,DMK,,61736,M,2,1,FALSE,FALSE,42.95,58242,40.52,45,,,1
AETN188877,11,0,2016,RADHAKRISHNAN. K,GEN,Tamil_Nadu,UDUMALPET,ADMK,,81817,M,1,1,FALSE,FALSE,44.73,5687,3.11,50,,1,1
AETN188878,11,0,2016,MUTHU. MU. KA,GEN,Tamil_Nadu,UDUMALPET,DMK,,76130,M,2,1,FALSE,FALSE,41.62,68791,37.61,50,,,1
AETN188886,11,0,2016,JAYARAMAKRISHNAN R,GEN,Tamil_Nadu,MADATHUKULAM,DMK,,76619,M,1,1,FALSE,FALSE,44.66,1667,0.97,49,,1,1
AETN188900,10,0,2011,SENTHILKUMAR. I.P,GEN,Tamil_Nadu,PALANI,DMK,,80297,M,2,2,FALSE,FALSE,47.27,78552,46.24,33,,1,2
AETN188900,11,0,2016,SENTHILKUMAR I P,GEN,Tamil_Nadu,PALANI,DMK,DMK,100045,M,1,2,FALSE,FALSE,50.66,25586,12.96,37,,1,2
AETN188923,7,0,1996,"SAKKARAPANI, R.",,Tamil_Nadu,ODDANCHATRAM,DMK,,66379,M,1,4,FALSE,FALSE,58.57,36823,32.49,,,4,4
AETN188923,9,0,2006,SAKKARAPANI.R,GEN,Tamil_Nadu,ODDANCHATRAM,DMK,DMK,63811,M,1,4,FALSE,FALSE,53.67,19903,16.74,45,,4,4
AETN188923,10,0,2011,SAKKARAPANI.R,GEN,Tamil_Nadu,ODDANCHATRAM,DMK,DMK,87743,M,1,4,FALSE,TRUE,51.99,14933,8.85,49,,4,4
AETN188923,11,0,2016,SAKKARAPANI R,GEN,Tamil_Nadu,ODDANCHATRAM,DMK,DMK,121715,M,1,4,FALSE,TRUE,64.26,65727,34.7,55,,4,4
AETN188924,11,0,2016,KITTUSAMY K,GEN,Tamil_Nadu,ODDANCHATRAM,ADMK,,55988,M,2,1,FALSE,FALSE,29.56,52304,27.61,59,,,1
AETN188938,5,0,1989,"PERIASAMY., I.",,Tamil_Nadu,ATHOOR,DMK,,37469,M,1,7,FALSE,FALSE,32.22,3736,3.21,,,5,7
AETN188938,6,0,1991,PERIYASAMY I.,,Tamil_Nadu,ATHOOR,DMK,DMK,35297,M,2,7,FALSE,TRUE,29.81,34457,29.1,,,5,7
AETN188938,7,0,1996,"PERIASAMY, I.",,Tamil_Nadu,ATHOOR,DMK,DMK,82294,M,1,7,FALSE,FALSE,64.09,50292,39.17,,,5,7
AETN188938,8,0,2001,PERIASAMY. I,,Tamil_Nadu,ATHOOR,DMK,DMK,60447,M,2,7,FALSE,TRUE,46.36,57877,44.39,,,5,7
AETN188938,9,0,2006,PERIASAMY.I,GEN,Tamil_Nadu,ATHOOR,DMK,DMK,76308,M,1,7,FALSE,FALSE,53.2,26561,18.52,53,,5,7
AETN188938,10,0,2011,PERIYASAMY.I,GEN,Tamil_Nadu,ATHOOR,DMK,DMK,112751,M,1,7,FALSE,TRUE,59.58,53932,28.5,59,,5,7
AETN188938,11,0,2016,PERIYASAMY I,GEN,Tamil_Nadu,ATHOOR,DMK,DMK,121738,M,1,7,FALSE,TRUE,53.1,27147,11.84,64,,5,7
AETN188939,11,0,2016,VISWANATHAN R NATHAM,GEN,Tamil_Nadu,ATHOOR,ADMK,,94591,M,2,1,FALSE,FALSE,41.26,90850,39.63,66,,,1
AETN188957,11,0,2016,THANGATHURAI R,SC,Tamil_Nadu,NILAKOTTAI,ADMK,,85507,M,1,1,FALSE,FALSE,48.99,14776,8.47,59,,1,1
AETN188958,11,0,2016,ANBAZHAGAN M,SC,Tamil_Nadu,NILAKOTTAI,DMK,,70731,M,2,1,FALSE,FALSE,40.52,63065,36.13,52,,,1
AETN188972,11,0,2016,SHAJAHAN S,GEN,Tamil_Nadu,NATHAM,ADMK,,91712,M,2,1,FALSE,FALSE,44.3,82339,39.78,67,,,1
AETN188991,11,0,2016,BASHEER AHAMED M,GEN,Tamil_Nadu,DINDIGUL,DMK,,70694,M,2,1,FALSE,FALSE,38.13,62037,33.46,60,,,1
