pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Terms,Terms_Contested
AEAP17843,9,0,1989,ANJANEYULU DEVERAJU,,Andhra_Pradesh,KARIMNAGAR,GEN,LKD (B),,4660,M,8,1,FALSE,FALSE,0.74,718,0.11,,1
AEAP20142,9,0,1989,VIJAYARAMARAJU SATRUCHARLA,,Andhra_Pradesh,PARVATHIPURAM,ST,INC,,284228,M,1,1,FALSE,FALSE,51.55,42641,7.73,1,1
AEAP21152,9,0,1989,BOJJA VENKATA REDDY,,Andhra_Pradesh,NANDYAL,GEN,INC,,370097,M,1,1,FALSE,FALSE,53.63,56262,8.15,1,1
AEAP23017,6,0,1977,SULTAN SALAHUDDIN OWAISI,,Andhra_Pradesh,HYDERABAD,GEN,IND,,91227,M,2,3,FALSE,FALSE,26.85,4538,1.34,2,3
AEAP23017,8,0,1984,SULTAN SALAHUDDIN OWAISE,,Andhra_Pradesh,HYDERABAD,GEN,IND,IND,222187,M,1,3,FALSE,FALSE,38.13,3481,0.6,2,3
AEAP23017,9,0,1989,SULTAN SALAHUDDIN OWAISI,,Andhra_Pradesh,HYDERABAD,GEN,MIM,IND,403625,M,1,3,FALSE,TRUE,45.91,133078,15.14,2,3
AEAP25359,6,0,1977,P. V. NARSIMHA RAO,,Andhra_Pradesh,HANAMKONDA,GEN,INC,,231593,M,1,5,FALSE,FALSE,59.32,77683,19.9,4,4
AEAP25359,7,0,1980,P. V. NARSIMHA RAO,,Andhra_Pradesh,HANAMKONDA,GEN,INC(I),INC,257961,M,1,5,FALSE,TRUE,65.9,162949,41.63,4,4
AEAP25359,8,0,1984,P.V. NARASIMHA RAO,,Andhra_Pradesh,HANAMKONDA,GEN,INC,INC(I),209564,M,2,5,FALSE,TRUE,41.63,191923,38.13,4,4
AEAP25359,8,0,1984,NARSIMHA RAO P. V.,,Maharashtra,RAMTEK,GEN,INC,INC,290905,M,1,5,FALSE,TRUE,65,185972,41.55,4,4
AEAP25359,9,0,1989,P.V. NARSIMHARAO,,Maharashtra,RAMTEK,GEN,INC,INC,257800,M,1,5,FALSE,TRUE,45.45,34470,6.08,4,4
AEAR81982,9,0,1989,NABAM ATUM,,Arunachal_Pradesh,ARUNACHAL WEST,GEN,IND,,31368,M,3,1,FALSE,FALSE,20.9,0,0,,1
AEAR82139,9,0,1989,KHAPRISO KRONG,,Arunachal_Pradesh,ARUNACHAL EAST,GEN,IND,,9040,M,3,1,FALSE,FALSE,7.35,0,0,,1
AEBR47120,5,0,1971,JANARDAN TIWARI,,Bihar,SIWAN,GEN,BJS,,132573,M,2,4,FALSE,FALSE,43.32,125223,40.92,1,4
AEBR47120,6,0,1977,JANARDAN TIWARY,,Bihar,SIWAN,GEN,IND,BJS,2064,M,5,4,FALSE,FALSE,0.48,51,0.01,1,4
AEBR47120,8,0,1984,JANARDAN TIWARI,,Bihar,SIWAN,GEN,BJP,IND,112243,M,2,4,FALSE,FALSE,27.04,91276,21.99,1,4
AEBR47120,9,0,1989,JANARDAN TIWARI,,Bihar,SIWAN,GEN,BJP,BJP,334637,M,1,4,FALSE,FALSE,60.52,158951,28.75,1,4
AECGAEMP2627,9,0,1989,JANAK LAL THAKUR,,Madhya_Pradesh,KANKER,ST,IND,,59053,M,3,1,FALSE,FALSE,13.8,31035,7.25,,1
AEGA83604,9,0,1989,NARESH MIRAJI MIRAJKAR,,Goa,PANAJI,GEN,IND,,477,M,12,1,FALSE,FALSE,0.2,91,0.04,,1
AEGA83674,9,0,1989,GANSHAM SADASHIV SATOSKAR,,Goa,PANAJI,GEN,IND,,621,M,9,1,FALSE,FALSE,0.26,25,0.01,,1
AEGJ1612,9,0,1989,THAKOR RAMSINH HIRSINH,,Gujarat,SABARKANTHA,GEN,IND,,19614,M,3,1,FALSE,FALSE,3.87,13719,2.71,,1
AEGJ3587,7,0,1980,TADVI KANUBHAI SOMABHAI(PANVALA),,Gujarat,CHHOTA UDAIPUR,ST,IND,,6706,M,3,3,FALSE,FALSE,1.89,0,0,,3
AEGJ3587,8,0,1984,TADVI KANUBHAI SOMABHAI (PANWALA),,Gujarat,CHHOTA UDAIPUR,ST,IND,IND,1804,M,8,3,FALSE,FALSE,0.51,317,0.09,,3
AEGJ3587,9,0,1989,TADVI KANUBHAI SOMBHAI (PANWALA),,Gujarat,CHHOTA UDAIPUR,ST,IND,IND,2066,M,5,3,FALSE,FALSE,0.46,754,0.17,,3
AEGJ4304,9,0,1989,HARIN PATHAK,GEN,Gujarat,AHMEDABAD,GEN,BJP,,334098,M,1,1,FALSE,FALSE,58.59,147357,25.84,1,1
AEGJ4724,8,0,1984,JASPALSING NIRANJANSING,,Gujarat,BARODA,GEN,BJP,,144164,M,2,2,FALSE,FALSE,27.43,78783,14.99,,2
AEGJ4724,9,0,1989,JASPAL SINGH,,Gujarat,BARODA,GEN,IND,BJP,1828,M,5,2,FALSE,FALSE,0.27,270,0.04,,2
AEHP1038,8,0,1984,PARAS RAM DURBASHA,,Himachal_Pradesh,HAMIRPUR,GEN,IND,,2230,M,6,2,FALSE,FALSE,0.58,1139,0.3,,2
AEHP1038,9,0,1989,PARASRAM DURBASHA,,Himachal_Pradesh,HAMIRPUR,GEN,JNP (JP),IND,969,M,7,2,FALSE,FALSE,0.2,124,0.03,,2
AEHR1049,7,0,1980,CHIRANJI LAL,,Haryana,KARNAL,GEN,INC(I),,151786,M,1,3,FALSE,FALSE,35.25,22328,5.18,3,3
AEHR1049,8,0,1984,CHIRANJI LAL,,Haryana,KARNAL,GEN,INC,INC(I),247063,M,1,3,FALSE,TRUE,48.67,98952,19.49,3,3
AEHR1049,9,0,1989,CHIRANJIT LAL,,Haryana,KARNAL,GEN,INC,INC,274465,M,1,3,FALSE,TRUE,46.11,8673,1.46,3,3
AEHR1187,9,0,1989,RAMNIJ DASS,,Haryana,BHIWANI,GEN,IND,,323,M,19,1,FALSE,FALSE,0.05,5,0,,1
AEHR1499,8,0,1984,DHARAM PAL SINGH,GEN,Haryana,SONEPAT,GEN,INC,,243491,M,1,2,FALSE,FALSE,48.54,2941,0.59,1,2
AEHR1499,9,0,1989,DHARAMPAL SINGH,GEN,Haryana,SONEPAT,GEN,INC,INC,237287,M,2,2,FALSE,TRUE,39.21,208036,34.38,1,2
AEHR1641,9,0,1989,ADITYA VESH,,Haryana,FARIDABAD,GEN,IND,,623,M,13,1,FALSE,FALSE,0.09,204,0.03,,1
AEHR3246,9,0,1989,AMAR SINGH JOHRI,,Haryana,KARNAL,GEN,IND,,338,M,27,1,FALSE,FALSE,0.06,65,0.01,,1
AEHR4090,9,0,1989,RAJ KUMAR,,Haryana,HISSAR,GEN,IND,,377,M,21,1,FALSE,FALSE,0.07,67,0.01,,1
AEHR792,6,0,1977,BANSI LAL,,Haryana,BHIWANI,GEN,INC,,127893,M,2,4,FALSE,FALSE,29.91,117337,27.44,3,4
AEHR792,7,0,1980,BANSI LAL,,Haryana,BHIWANI,GEN,INC(I),INC,194437,M,1,4,FALSE,FALSE,41.81,50071,10.77,3,4
AEHR792,8,0,1984,BANSI LAL,,Haryana,BHIWANI,GEN,INC,INC(I),347226,M,1,4,FALSE,TRUE,66,187077,35.56,3,4
AEHR792,9,0,1989,BANSI LAL,,Haryana,BHIWANI,GEN,INC,INC,357625,M,1,4,FALSE,FALSE,60.13,157330,26.45,3,4
AEHR828,9,0,1989,BHAJAN LAL,GEN,Haryana,FARIDABAD,GEN,INC,,404646,M,1,1,FALSE,FALSE,57.81,131227,18.75,1,1
AEJK103769,9,0,1989,P.L.HANDOO,,Jammu_&_Kashmir,ANANTNAG,GEN,JKN,,36055,M,1,1,FALSE,FALSE,97.69,35869,97.19,1,1
AEJK104080,9,0,1989,GHULAM RASOOL ASGHAR,,Jammu_&_Kashmir,JAMMU,GEN,JNP (JP),,11049,M,5,1,FALSE,FALSE,1.93,3441,0.6,,1
AEJK104273,9,0,1989,GIANI SANT SINGH,,Jammu_&_Kashmir,BARAMULLA,GEN,IND,,620,M,3,1,FALSE,FALSE,1.65,221,0.59,,1
AEJK104496,8,0,1984,ALI MOHD.,,Jammu_&_Kashmir,UDHAMPUR,GEN,IND,,1718,M,11,2,FALSE,FALSE,0.47,218,0.06,,2
AEJK104496,9,0,1989,ALI MOHD.,,Jammu_&_Kashmir,UDHAMPUR,GEN,IND,IND,990,M,11,2,FALSE,FALSE,0.32,16,0.01,,2
AEJK104539,9,0,1989,RAJINDER SINGH CHIB,,Jammu_&_Kashmir,JAMMU,GEN,JD,,218006,M,2,1,FALSE,FALSE,38.03,175553,30.63,,1
AEJK104589,9,0,1989,CHAMAN LAL,,Jammu_&_Kashmir,JAMMU,GEN,BJP,,35323,M,4,1,FALSE,FALSE,6.16,24274,4.23,,1
AEKA105749,9,0,1989,NAZEER AHMED SIDSIDDIQUI,,Karnataka,RAICHUR,GEN,JD,,139143,M,2,1,FALSE,FALSE,28.01,70569,14.21,,1
AEKA105805,6,0,1977,K. G. MAHESWARAPPA,,Karnataka,DAVANGERE,GEN,BLD,,152078,M,2,3,FALSE,FALSE,36.89,136113,33.02,,3
AEKA105805,8,0,1984,K. G. MAHESWARAPPA,,Karnataka,DAVANGERE,GEN,JNP,BLD,224262,M,2,3,TRUE,FALSE,41.82,216856,40.44,,3
AEKA105805,9,0,1989,K.G.MAHESWARAPPA,,Karnataka,DAVANGERE,GEN,JD,JNP,293849,M,2,3,TRUE,FALSE,41.55,257940,36.47,,3
AEKA105879,8,0,1984,V. KRISHNA RAO,,Karnataka,CHIKBALLAPUR,GEN,INC,,282279,M,1,2,FALSE,FALSE,51.8,44314,8.13,2,2
AEKA105879,9,0,1989,V.KRISHNA RAO,,Karnataka,CHIKBALLAPUR,GEN,INC,INC,367638,M,1,2,FALSE,TRUE,52.74,136888,19.64,2,2
AEKA106140,9,0,1989,R.GUNDU RAO,,Karnataka,BANGALORE SOUTH,GEN,INC,,413574,M,1,1,FALSE,FALSE,57.34,239854,33.26,1,1
AEKA106247,9,0,1989,E. VA . VAZ,,Karnataka,CHIKMAGALUR,GEN,JD,,132267,F,3,1,FALSE,FALSE,20.74,80201,12.58,,1
AEKA106324,7,0,1980,D.K. NAIKAR,,Karnataka,DHARWAD NORTH,GEN,INC(I),,208269,M,1,3,FALSE,FALSE,58.19,96694,27.01,3,3
AEKA106324,8,0,1984,NAIKAR DYAMAPPA KALLAPPA,,Karnataka,DHARWAD NORTH,GEN,INC,INC(I),229865,M,1,3,FALSE,TRUE,52.31,44851,10.21,3,3
AEKA106324,9,0,1989,D.K.NAIKAR,,Karnataka,DHARWAD NORTH,GEN,INC,INC,276545,M,1,3,FALSE,TRUE,45.61,55548,9.16,3,3
AEKA106440,9,0,1989,AVINASH DATTA KATTI,SC,Karnataka,CHIKKODI,SC,RPK,,213711,M,2,1,FALSE,FALSE,35.85,124065,20.81,,1
AEKA10661,9,0,1989,P.V.MOHAN,,Karnataka,MANGALORE,GEN,IND,,4104,M,5,1,FALSE,FALSE,0.66,1827,0.29,,1
AEKA106673,9,0,1989,D.T.MAYANNA,,Karnataka,TUMKUR,GEN,JD,,109673,M,3,1,FALSE,FALSE,16.27,105369,15.63,,1
AEKA106861,9,0,1989,G.MADE GOWDA,,Karnataka,MANDYA,GEN,INC,,337024,M,1,1,FALSE,FALSE,47.72,74889,10.6,1,1
AEKA106963,9,0,1989,H.C.SRIKANTAIAH,GEN,Karnataka,HASSAN,GEN,INC,,403286,M,1,1,FALSE,FALSE,54.15,189155,25.4,1,1
AEKA107666,7,0,1980,H.N. NANJEGOWDA,GEN,Karnataka,HASSAN,GEN,INC(I),,219969,M,1,3,FALSE,FALSE,49.2,94748,21.19,2,3
AEKA107666,8,0,1984,H. N. NANJEGOWDA,GEN,Karnataka,HASSAN,GEN,INC,INC(I),265488,M,1,3,FALSE,TRUE,49.52,31969,5.96,2,3
