pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms_Contested
AEWB100453,9,0,1982,NARMADA ROY,West_Bengal,KUSHMANDI,RSP,,39001,M,2,2,1,FALSE,FALSE,49.1,38471,48.44,,2
AEWB100453,10,0,1987,ROY NARMADA,West_Bengal,KUSHMANDI,RSP,RSP,48500,M,1,2,1,FALSE,FALSE,53.98,9851,10.96,,2
AEWB100783,10,0,1987,KALLON KHAN,West_Bengal,NAKASHIPARA,INC,,26332,M,2,1,0,FALSE,FALSE,30.88,5758,6.75,,1
AEWB101924,10,0,1987,AMIYA PATRA,West_Bengal,TALDANGRA,CPM,,59883,M,1,1,1,FALSE,FALSE,59.48,23998,23.84,,1
AEWB103076,8,0,1977,ABDUR RAZZAK MOLLA,West_Bengal,CANNING EAST,CPM,,24580,M,1,3,3,FALSE,FALSE,58.88,12604,30.19,,3
AEWB103076,9,0,1982,ABDUR RAZZAK MOLLA,West_Bengal,CANNING EAST,CPM,CPM,42457,M,1,3,3,FALSE,TRUE,61.62,16954,24.61,,3
AEWB103076,10,0,1987,ABDUR RAZZAK MOLLA,West_Bengal,CANNING EAST,CPM,CPM,52811,M,1,3,3,FALSE,TRUE,62.44,21487,25.4,,3
AEWB103325,10,0,1987,ASOK GHOSH,West_Bengal,HOWRAH NORTH,INC,,46687,M,1,1,1,FALSE,FALSE,50.8,3317,3.61,,1
AEWB103670,10,0,1987,SUSANTA GHOSH,West_Bengal,GARHBETA EAST,CPM,,48450,M,1,1,1,FALSE,FALSE,56.69,11804,13.81,,1
AEWB103857,10,0,1987,SEN NIRUPAM,West_Bengal,BURDWAN SOUTH,CPM,,60027,M,1,1,1,FALSE,FALSE,53.6,11958,10.68,,1
AEWB104389,10,0,1987,MAULANA AZIZUR RAHMAN,West_Bengal,FARAKKA,MUL,,3281,M,5,1,0,FALSE,FALSE,4.08,0,0,,1
AEWB104503,7,0,1972,ARABINDA MANDAL,West_Bengal,KARIMPUR,INC,,27557,M,1,4,1,FALSE,FALSE,60.98,11538,25.53,,4
