pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms_Contested
AEBH104264,7,0,1977,LALCHAND MAHTO,Bihar,DUMRI,JNP,,16867,M,1,6,3,FALSE,FALSE,53.21,11630,36.69,,6
AEBH104264,8,0,1980,LALCHAND MAHTO,Bihar,DUMRI,JNP(SC),JNP,14092,M,2,6,3,TRUE,TRUE,31.1,6892,15.21,,6
AEBH104264,9,0,1985,LAL CHAND MAHTO,Bihar,DUMRI,LKD,JNP(SC),14109,M,2,6,3,TRUE,FALSE,26.35,7731,14.44,,6
AEBH104264,10,0,1990,LAL CHAND MAHTO,Bihar,DUMRI,JD,LKD,30718,M,1,6,3,TRUE,FALSE,36.98,11523,13.87,,6
AEBH104264,11,0,1995,LAL CHAND MAHTO,Bihar,DUMRI,SAP,JD,19698,M,3,6,3,TRUE,TRUE,18.56,10752,10.13,,6
AEBH104264,12,0,2000,LAL CHAND MAHTO,Bihar,DUMRI,JD(U),SAP,28087,M,1,6,3,TRUE,FALSE,35.35,6725,8.46,,6
AEBH104265,10,0,1990,VIJAY PD. GUPTA,Bihar,SUGAULI,IND,,8950,M,5,2,1,FALSE,FALSE,9.38,4097,4.3,,2
AEBH104265,12,0,2000,VIJAY PRASAD GUPTA,Bihar,SUGAULI,KSP,IND,39499,M,1,2,1,FALSE,FALSE,33.15,506,0.42,,2
AEBH104266,11,0,1995,DILIP KUMAR YADAV,Bihar,DHAMDAHA,JD,,32543,M,1,2,1,FALSE,FALSE,29,8923,7.95,,2
AEBH104266,12,0,2000,DILIP KUMAR YADAV,Bihar,DHAMDAHA,RJD,JD,16387,M,3,2,1,TRUE,TRUE,12.91,2567,2.02,,2
AEBH104268,11,0,1995,PRADIP KU. DAS,Bihar,KASBA,BJP,,31344,M,1,2,2,FALSE,FALSE,26.25,4871,4.08,,2
