pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEAR82208,1,0,1978,TUMPAK ETE,,Arunachal_Pradesh,ALONG SOUTH,JNP,,1504,M,2,1,FALSE,FALSE,21.26,196,2.77,,,1
AEAR82211,1,0,1978,DAGMO JINI,,Arunachal_Pradesh,ALONG SOUTH,PPA,,1045,M,5,1,FALSE,FALSE,14.77,0,0,,,1
AEAR82214,1,0,1978,SUTEM TASUNG,,Arunachal_Pradesh,PALIN,PPA,,4857,M,1,1,FALSE,FALSE,59.93,2951,36.41,,1,1
AEAR82215,1,0,1978,TARUNG PABIA,,Arunachal_Pradesh,PALIN,JNP,,1906,M,2,1,FALSE,FALSE,23.52,565,6.97,,,1
AEAR82217,1,0,1978,GEGONG APANG,,Arunachal_Pradesh,YINGKIONG PANGIN,JNP,,4435,M,1,1,FALSE,FALSE,61.09,1610,22.18,,1,1
AEAR82219,1,0,1978,ONYOK ROME,,Arunachal_Pradesh,MARIYANG MEBO,PPA,,3717,M,1,1,FALSE,FALSE,59.94,2130,34.35,,1,1
AEAR82223,1,0,1978,MUKUT MITHI,,Arunachal_Pradesh,KOLORIANG,JNP,,330,M,2,1,FALSE,FALSE,21.58,179,11.71,,,1
AEAR82226,1,0,1978,GORA PARTIN,,Arunachal_Pradesh,ROING,JNP,,930,M,2,1,FALSE,FALSE,26.59,464,13.26,,,1
AEAR82233,1,0,1978,YIASING MININ,,Arunachal_Pradesh,TEZU HAYULIANG,PPA,,1853,M,2,1,FALSE,FALSE,28.02,0,0,,,1
AEAR82236,1,0,1978,PUYOG TIKHAR,,Arunachal_Pradesh,NOADEHING NAMPONG,JNP,,893,M,3,1,FALSE,FALSE,25.54,461,13.19,,,1
AEAR82238,1,0,1978,TENGAM,,Arunachal_Pradesh,CHANGLANG,JNP,,2194,M,1,1,FALSE,FALSE,50.82,551,12.76,,1,1
AEAR82239,1,0,1978,NONGCHO,,Arunachal_Pradesh,CHANGLANG,PPA,,1643,M,2,1,FALSE,FALSE,38.06,1163,26.94,,,1
AEAR82241,1,0,1978,SIJEN KONGKANG,,Arunachal_Pradesh,KHONSA SOUTH,PPA,,2035,M,1,1,FALSE,FALSE,36.57,209,3.76,,1,1
AEAR82248,1,0,1978,NOKSONG BOHAM (UNCONTESTED),,Arunachal_Pradesh,NIAUSA KANUBARI,JNP,,0,M,1,1,FALSE,FALSE,,0,,,1,1
AEAR82249,1,0,1978,WNAGNAM WANGSHU,,Arunachal_Pradesh,PONGCHAU WAKKA,JNP,,1344,M,1,1,FALSE,FALSE,59.63,434,19.25,,1,1
AEAR82250,1,0,1978,ACHING,,Arunachal_Pradesh,PONGCHAU WAKKA,IND,,910,M,2,1,FALSE,FALSE,40.37,0,0,,,1
AEAR82254,1,0,1978,WANGPHA LOWANG,,Arunachal_Pradesh,KHONSA SOUTH,JNP,,1826,M,2,1,FALSE,FALSE,32.81,122,2.19,,,1
