pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEOD5254,11,0,1995,SAUBHAGYA MANJARI DEVI,,Odisha,KHANDAPARA,BJP,,1117,F,3,1,FALSE,FALSE,1.11,234,0.23,,,1
AEOD5261,11,0,1995,SAROJ KUMAR PARIDA,,Odisha,DASPALLA,INC,,37781,M,2,1,FALSE,FALSE,37.89,31295,31.39,,,1
AEOD5278,11,1,1997,Sudipta Chandra Ray,,Odisha,DASPALLA,INC,,27543,M,2,1,FALSE,FALSE,40.64,22064,32.56,,,1
AEOD5279,11,1,1997,Prashanta Kumar Sahoo,,Odisha,DASPALLA,BJP,,5479,M,3,1,FALSE,FALSE,8.08,2167,3.2,,,1
AEOD5280,11,1,1997,Kishore Kumar Panigrahi,,Odisha,DASPALLA,JD,,3312,M,4,1,FALSE,FALSE,4.89,2421,3.57,,,1
AEOD5288,11,0,1995,PANU CHARAN SETHI,,Odisha,JAGANATHPRASAD,INC,,10006,M,3,1,FALSE,FALSE,9.96,6212,6.18,,,1
AEOD5290,11,0,1995,NIRANJAN BEHERA,,Odisha,JAGANATHPRASAD,BJP,,3644,M,5,1,FALSE,FALSE,3.63,58,0.06,,,1
AEOD5294,11,0,1995,BIKRAM KESHARI ARUKHA,,Odisha,BHANJANAGAR,JD,,46669,M,1,1,FALSE,FALSE,48.15,1567,1.62,,1,1
AEOD5301,11,0,1995,KHIRODE KUMARI,,Odisha,SURUDA,JD,,25195,F,3,1,FALSE,FALSE,26.67,19684,20.84,,,1
AEOD5307,10,0,1990,USHA RANI PANDA,,Odisha,SURUDA,INC,,30395,F,2,2,FALSE,FALSE,38.61,28396,36.07,,1,2
AEOD5307,11,0,1995,USHA RANI PANDA,,Odisha,ASKA,INC,INC,30868,F,1,2,FALSE,FALSE,36.5,11543,13.65,,1,2
AEOD5308,11,0,1995,SAROJ KUMAR PADHI,,Odisha,ASKA,JD,,19325,M,2,1,FALSE,FALSE,22.85,3722,4.4,,,1
AEOD5311,11,0,1995,SURYA NARAYAN DAS,,Odisha,ASKA,BJP,,4279,M,5,1,FALSE,FALSE,5.06,3757,4.44,,,1
AEOD5324,11,0,1995,DEBENDRA KUMAR PANIGRAHI,,Odisha,KODALA,INC,,5325,M,3,1,FALSE,FALSE,5.11,5025,4.82,,,1
AEOD5328,11,0,1995,MAGUNI CHARAN PALLAI,,Odisha,KHALLIKOTE,INC,,35997,M,2,1,FALSE,FALSE,33.38,28424,26.36,,,1
AEOD5329,11,0,1995,SRIHARSA RATH,,Odisha,KHALLIKOTE,CPI,,7573,M,3,1,FALSE,FALSE,7.02,6183,5.73,,,1
AEOD5330,11,0,1995,PRAFULLA KUMAR PALLAI,,Odisha,KHALLIKOTE,BJP,,1390,M,4,1,FALSE,FALSE,1.29,882,0.82,,,1
AEOD5336,11,0,1995,P. TRIPATI RAO,,Odisha,CHATRAPUR,BJP,,2805,M,4,1,FALSE,FALSE,2.67,1946,1.85,,,1
AEOD5347,8,0,1980,PURNA CHANDRA SAHU,,Odisha,MELCHHAMUNDA,IND,,7009,M,2,2,FALSE,FALSE,17.91,776,1.98,,,2
AEOD5347,11,0,1995,PURNACHANDRA SAHU,,Odisha,HINJILI,BJP,IND,3575,M,3,2,FALSE,FALSE,3.83,1586,1.7,,,2
AEOD5356,11,0,1995,KROSHNA CHANDRA BEHERA,,Odisha,GOPALPUR,BJP,,1782,M,3,1,FALSE,FALSE,1.92,51,0.06,,,1
AEOD5358,11,0,1995,RAMESH CHANDRA CHYAU PATNAIK,,Odisha,BERHAMPUR,JD,,47912,M,1,1,FALSE,FALSE,42.42,4223,3.74,,1,1
AEOD5362,11,0,1995,BALA KRUSHNA CHOUDHURY,,Odisha,BERHAMPUR,BJP,,4979,M,5,1,FALSE,FALSE,4.41,4148,3.67,,,1
AEOD5371,11,0,1995,C.D. SAMANTARA,,Odisha,CHIKATI,IND,,48147,M,1,1,FALSE,FALSE,46.03,2893,2.77,,1,1
AEOD5373,11,0,1995,B. DURGA PRATAP REDDI,,Odisha,CHIKATI,INC,,8121,M,3,1,FALSE,FALSE,7.76,6273,6,,,1
AEOD5382,11,0,1995,NARAYAN SAHU,,Odisha,MOHANA,BJP,,2677,M,5,1,FALSE,FALSE,2.61,1591,1.55,,,1
AEOD5386,11,0,1995,KARTIK GAMANGO,,Odisha,RAMAGIRI,BJP,,17594,M,2,1,FALSE,FALSE,23.5,5890,7.87,,,1
AEOD5388,11,0,1995,SACHALA KARJEE,,Odisha,RAMAGIRI,JD,,9682,F,4,1,FALSE,FALSE,12.93,5942,7.94,,,1
AEOD5395,11,0,1995,NALLA KURUMA NAIKULU,,Odisha,PARLAKHEMUNDI,INC,,9044,M,4,1,FALSE,FALSE,10.07,979,1.09,,,1
AEOD5400,11,0,1995,MULLI GOPAL RAO,,Odisha,PARLAKHEMUNDI,BJP,,1602,M,9,1,FALSE,FALSE,1.78,666,0.74,,,1
AEOD5409,11,0,1995,AKSHYA KUMAR GOMANGO,,Odisha,GUNUPUR,INC,,61272,M,1,1,FALSE,FALSE,59.28,37190,35.98,,1,1
AEOD5411,11,0,1995,BIDU BHUSAN GOMANGO,,Odisha,GUNUPUR,BJP,,9374,M,3,1,FALSE,FALSE,9.07,5074,4.91,,,1
AEOD5421,11,1,1996,Sankar Bidika,,Odisha,Gunupur(ST),BJP,,1494,M,7,1,FALSE,FALSE,1.73,900,1.04,,,1
AEOD5425,11,0,1995,BAIDYANATH KADRAKA,,Odisha,BISSAM-CUTTACK,BJP,,5492,M,3,1,FALSE,FALSE,5.71,0,0,,,1
AEOD5434,11,0,1995,SADANA SAUNTA,,Odisha,LAKSHMIPUR,BJP,,2573,M,4,1,FALSE,FALSE,2.93,1164,1.33,,,1
AEOD5442,11,0,1995,SUDHANSU KUMAR PADHY,,Odisha,KORAPUT,BJP,,4976,M,3,1,FALSE,FALSE,5.54,1470,1.64,,,1
AEOD5452,11,0,1995,NAKA NUKAL RAJU,,Odisha,MALKANGIRI,JD,,33574,M,2,1,FALSE,FALSE,33,10877,10.69,,,1
AEOD5458,11,0,1995,KAMARAJ KAWASI,,Odisha,CHITRAKONDA,BJP,,6197,M,3,1,FALSE,FALSE,8.12,2465,3.23,,,1
AEOD5459,11,0,1995,PRASAD NAYAK,,Odisha,CHITRAKONDA,CPI,,3732,M,4,1,FALSE,FALSE,4.89,1369,1.79,,,1
AEOD5466,11,0,1995,RABINARAYAN NANDA,,Odisha,JEYPORE,JD,,25489,M,2,1,FALSE,FALSE,24.35,12096,11.55,,,1
AEOD5468,11,0,1995,SAKTI VIKRAM DEO,,Odisha,JEYPORE,BJP,,5465,M,4,1,FALSE,FALSE,5.22,3830,3.66,,,1
AEOD5475,11,0,1995,JAYADEV PARIDA,,Odisha,NOWRANGPUR,JD,,31206,M,2,1,FALSE,FALSE,31.32,28161,28.27,,,1
AEOD5478,11,0,1995,GADADHAR DAS,,Odisha,NOWRANGPUR,BJP,,2029,M,5,1,FALSE,FALSE,2.04,811,0.81,,,1
AEOD5491,11,0,1995,KADAM PUJARI,,Odisha,DABUGAM,INC,,43493,M,2,1,FALSE,FALSE,41.94,35038,33.79,,,1
AEOD5492,11,0,1995,PARSU RAM MAJHI,,Odisha,DABUGAM,BJP,,8455,M,3,1,FALSE,FALSE,8.15,4286,4.13,,,1
AEOD5497,11,0,1995,DHARAMU GOND,,Odisha,UMARKOTE,BJP,,15715,M,3,1,FALSE,FALSE,15.58,10698,10.61,,,1
AEOD55,7,0,1977,KISHORE CHANDRA PATEL,,Odisha,SUNDARGARH,INC,,21981,M,1,5,FALSE,FALSE,55.87,4621,11.75,,3,5
AEOD55,8,0,1980,KISHORE CHANDRA PATAL,,Odisha,SUNDARGARH,INC(I),INC,31053,M,1,5,TRUE,TRUE,73.52,25185,59.62,,3,5
AEOD55,9,0,1985,KISHORE CHANDRA PATEL,,Odisha,SUNDARGARH,INC,INC(I),22123,M,2,5,TRUE,TRUE,36.89,20342,33.92,,3,5
AEOD55,10,0,1990,KISHORE CHANDRA PATEL,,Odisha,SUNDARGARH,INC,INC,23518,M,2,5,FALSE,FALSE,30.86,22661,29.73,,3,5
AEOD55,11,0,1995,KISHORE CHANDRA PATEL,,Odisha,SUNDARGARH,INC,INC,46969,M,1,5,FALSE,FALSE,45.43,2742,2.65,,3,5
AEOD5501,11,0,1995,SURESH KUMAR AZAD,,Odisha,NAWAPARA,INC,,30133,M,2,1,FALSE,FALSE,30.13,10824,10.82,,,1
AEOD5502,11,0,1995,BASANTA KUMAR PANDA,,Odisha,NAWAPARA,BJP,,19309,M,3,2,FALSE,FALSE,19.31,16817,16.82,,,1
AEOD5502,11,1,1997,Basanta Kumar Panda,,Odisha,NAWAPARA,BJP,BJP,25107,M,2,2,FALSE,FALSE,30.76,28,0.03,,,1
AEOD5507,11,1,1997,Surjya Majhi,,Odisha,NAWAPARA,JD,,25079,F,3,1,FALSE,FALSE,30.73,0,0,,,1
AEOD5510,11,0,1995,MANOHAR GAHIR,,Odisha,KHARIAR,BJP,,13214,M,3,1,FALSE,FALSE,13.41,11580,11.75,,,1
AEOD5519,11,0,1995,BIRA SIPKA,,Odisha,DHARAMGARH,JD,,29302,M,1,1,FALSE,FALSE,31.64,1139,1.23,,1,1
AEOD5521,11,0,1995,CHHABILAL NAG,,Odisha,DHARAMGARH,INC,,22970,M,3,1,FALSE,FALSE,24.8,16463,17.78,,,1
AEOD5522,11,0,1995,BHAGYABAN SAGAR,,Odisha,DHARAMGARH,BJP,,6507,M,4,1,FALSE,FALSE,7.03,3380,3.65,,,1
AEOD5528,11,0,1995,ROSHNI SINGH DEO,,Odisha,KOKSARA,JD,,34950,F,1,1,FALSE,FALSE,36.84,10154,10.7,,1,1
AEOD5532,11,0,1995,SESHADEB BEHERA,,Odisha,KOKSARA,BJP,,7331,M,5,1,FALSE,FALSE,7.73,1813,1.91,,,1
AEOD5548,11,1,1998,Himansu Sekhar Meher,,Odisha,JUNAGARH,BJP,,27230,M,1,1,FALSE,FALSE,39.21,1649,2.37,,1,1
AEOD5549,11,1,1998,Abhimanyu Panda,,Odisha,JUNAGARH,INC,,25581,M,2,1,FALSE,FALSE,36.84,19625,28.26,,,1
AEOD5552,11,1,1998,Raidas Naik,,Odisha,JUNAGARH,JD,,3018,M,5,1,FALSE,FALSE,4.35,2193,3.16,,,1
AEOD5558,11,0,1995,PRADIPTA KUMAR NAIK,,Odisha,BHAWANIPATNA,BJP,,22578,M,1,1,FALSE,FALSE,23.94,69,0.07,,1,1
AEOD5559,11,0,1995,DUSMANTA NAIK,,Odisha,BHAWANIPATNA,INC,,22509,M,2,1,FALSE,FALSE,23.86,8565,9.08,,,1
AEOD5587,11,0,1995,SAMENANDRA PRATAP SINGH DEO,,Odisha,KESINGA,BJP,,1953,M,4,1,FALSE,FALSE,1.89,295,0.29,,,1
AEOD5600,11,0,1995,GHANSHYAM BUDAEK,,Odisha,BALLIGUDA,JD,,30110,M,2,1,FALSE,FALSE,28.26,15634,14.67,,,1
AEOD5601,11,0,1995,SURENDRA KONHAR,,Odisha,BALLIGUDA,BJP,,14476,M,3,1,FALSE,FALSE,13.59,7835,7.35,,,1
AEOD5616,11,0,1995,SAKUNTALA MAHALIK,,Odisha,PHULBANI,INC,,16394,F,3,1,FALSE,FALSE,14.91,6786,6.17,,,1
AEOD5623,11,0,1995,NABA KUMAR MISHRA,,Odisha,BOUDH,INC,,41932,M,2,1,FALSE,FALSE,38.13,27906,25.38,,,1
AEOD5633,11,0,1995,DAMBARUDHAR CHHATRIA,,Odisha,TITILAGARH,INC,,40258,M,2,1,FALSE,FALSE,40.34,36704,36.78,,,1
AEOD5638,11,0,1995,SANTOSH SINGH SALUJA,,Odisha,KANTABANJI,INC,,38105,M,1,1,FALSE,FALSE,44.8,6252,7.35,,1,1
