pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Terms,Terms_Contested
1,17,0,2019,AYAN MANDAL,,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,GEN,AITC,,1721,M,6,1,FALSE,FALSE,0.83,309,0.15,,1
1018,17,0,2019,Sheikh Khalid Jehangir,,Jammu_&_Kashmir,SRINAGAR,GEN,BJP,,4631,M,4,1,FALSE,FALSE,2.48,3001,1.61,,1
1023,17,0,2019,Abdul Khaliq Bhat,,Jammu_&_Kashmir,SRINAGAR,GEN,SHS,,578,M,12,1,FALSE,FALSE,0.31,72,0.04,,1
1032,17,0,2019,VIKRAMADITYA SINGH,,Jammu_&_Kashmir,UDHAMPUR,GEN,INC,,367059,M,2,1,FALSE,FALSE,31.1,342740,29.04,,1
1033,17,0,2019,TILAK RAJ BHAGAT,,Jammu_&_Kashmir,UDHAMPUR,GEN,BSP,,16601,M,5,1,FALSE,FALSE,1.41,9033,0.77,,1
1040,17,0,2019,MEENAKSHI,,Jammu_&_Kashmir,UDHAMPUR,GEN,SHS,,1660,F,11,1,FALSE,FALSE,0.14,53,0,,1
2905,17,0,2019,KUNWAR DANISH ALI,GEN,Uttar_Pradesh,AMROHA,GEN,BSP,,601082,M,1,1,FALSE,FALSE,51.41,63248,5.41,1,1
2906,17,0,2019,SACHIN CHOUDHARY,GEN,Uttar_Pradesh,AMROHA,GEN,INC,,12510,M,3,1,FALSE,FALSE,1.07,5893,0.5,,1
2914,17,0,2019,BANSHI SINGH,SC,Uttar_Pradesh,BULANDSHAHR,SC,INC,,29465,M,3,1,FALSE,FALSE,2.62,23746,2.11,,1
2924,17,0,2019,BIJENDRA SINGH CHAUDHARY,GEN,Uttar_Pradesh,ALIGARH,GEN,INC,,50880,M,3,1,FALSE,FALSE,4.37,44612,3.84,,1
2958,17,0,2019,Preeta Harit,SC,Uttar_Pradesh,AGRA,SC,INC,,45149,F,3,1,FALSE,FALSE,3.94,39332,3.43,,1
2967,17,0,2019,RAJKUMAR CHAHAR,GEN,Uttar_Pradesh,FATEHPUR SIKRI,GEN,BJP,,667147,M,1,1,FALSE,FALSE,64.32,495065,47.73,1,1
2969,17,0,2019,SHREEBHAGWAN SHARMA,GEN,Uttar_Pradesh,FATEHPUR SIKRI,GEN,BSP,,168043,M,3,1,FALSE,FALSE,16.2,157351,15.17,,1
3831,17,0,2019,TOKIYA PRABHUBHAI,,Dadra_&_Nagar_Haveli,DADRA AND NAGAR HAVELI,ST,INC,,8608,M,3,1,FALSE,FALSE,4.33,4608,2.32,,1
3832,17,0,2019,DONGARKAR ISHWARBHAI GOPJIBHAI,,Dadra_&_Nagar_Haveli,DADRA AND NAGAR HAVELI,ST,BSP,,948,M,11,1,FALSE,FALSE,0.48,105,0.05,,1
3835,17,0,2019,PATEL ANKITA AMRUTBHAI,,Dadra_&_Nagar_Haveli,DADRA AND NAGAR HAVELI,ST,SHS,,4000,F,4,1,FALSE,FALSE,2.01,370,0.19,,1
3844,17,0,2019,SAKIL LATIF KHAN,,Daman_&_Diu,DAMAN & DIU,GEN,BSP,,792,M,5,1,FALSE,FALSE,0.91,0,0,,1
3846,17,0,2019,GIRISH RAYA CHODANKAR,SC,Goa,NORTH GOA,GEN,INC,,164597,M,2,1,FALSE,FALSE,38.4,157534,36.75,,1
3849,17,0,2019,DATTATRAYA PADGAONKAR,,Goa,NORTH GOA,GEN,AAAP,,4756,M,4,1,FALSE,FALSE,1.11,1947,0.45,,1
3854,17,0,2019,ELVIS GOMES,,Goa,SOUTH GOA,GEN,AAAP,,20891,M,3,1,FALSE,FALSE,4.92,15455,3.64,,1
3855,17,0,2019,RAKHI AMIT NAIK,,Goa,SOUTH GOA,GEN,SHS,,1763,F,5,1,FALSE,FALSE,0.42,58,0.01,,1
3859,17,0,2019,NARESH NARANBHAI MAHESHWARI,SC,Gujarat,KACHCHH,SC,INC,,331521,M,2,1,FALSE,FALSE,32.4,312760,30.57,,1
3860,17,0,2019,LAKHUBHAI VAGHELA,SC,Gujarat,KACHCHH,SC,BSP,,7448,M,5,1,FALSE,FALSE,0.73,1687,0.16,,1
3868,17,0,2019,TEJABHAI NETHIBHAI RABARI,,Gujarat,BANASKANTHA,GEN,BSP,,11088,M,5,1,FALSE,FALSE,1.01,19,0,,1
3869,17,0,2019,PARTHIBHAI GALBABHAI BHATOL,,Gujarat,BANASKANTHA,GEN,INC,,310812,M,2,1,FALSE,FALSE,28.2,262178,23.79,,1
3870,17,0,2019,PARBATBHAI SAVABHAI PATEL,GEN,Gujarat,BANASKANTHA,GEN,BJP,,679108,M,1,1,FALSE,FALSE,61.62,368296,33.42,1,1
3884,17,0,2019,DABHI BHARATSINHJI SHANKARJI,,Gujarat,PATAN,GEN,BJP,,633368,M,1,1,FALSE,FALSE,56.24,193879,17.21,1,1
3885,17,0,2019,SURAJKUMAR MAHENDRABHAI PARMAR,,Gujarat,PATAN,GEN,BSP,,6651,M,6,1,FALSE,FALSE,0.59,1004,0.09,,1
3895,17,0,2019,A. J. Patel,GEN,Gujarat,MAHESANA,GEN,INC,,378006,M,2,1,FALSE,FALSE,34.94,365939,33.82,,1
3896,17,0,2019,SHARDABEN ANILBHAI PATEL,GEN,Gujarat,MAHESANA,GEN,BJP,,659525,F,1,1,FALSE,FALSE,60.96,281519,26.02,1,1
3906,17,0,2019,THAKOR RAJENDRASINH SHIVSINH,,Gujarat,SABARKANTHA,GEN,INC,,432997,M,2,1,FALSE,FALSE,35.54,415822,34.13,,1
