pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Terms,Terms_Contested
AEAP13052,12,0,1998,TAMMINENI JAGANMOHANARAO,GEN,Andhra_Pradesh,SRIKAKULAM,GEN,IND,,1792,M,4,1,FALSE,FALSE,0.27,0,0,,1
AEAP19439,12,0,1998,ALLADI P.RAJKUMAR,,Andhra_Pradesh,SECUNDERABAD,GEN,TDP,,193087,M,3,1,FALSE,FALSE,21.58,191649,21.42,,1
AEAP19950,11,0,1996,AJMEERA CHANDULAL,,Andhra_Pradesh,WARANGAL,GEN,TDP,,292887,M,1,2,FALSE,FALSE,39.85,17440,2.37,2,2
AEAP19950,12,0,1998,AZMEERA CHANDULAL,,Andhra_Pradesh,WARANGAL,GEN,TDP,TDP,323093,M,1,2,FALSE,TRUE,41.43,24801,3.18,2,2
AEAP20142,9,0,1989,VIJAYARAMARAJU SATRUCHARLA,,Andhra_Pradesh,PARVATHIPURAM,ST,INC,,284228,M,1,4,FALSE,FALSE,51.55,42641,7.73,3,4
AEAP20142,10,0,1991,VIJAYARAMARAJU SATRUCHARLA,,Andhra_Pradesh,PARVATHIPURAM,ST,INC,INC,279415,M,1,4,FALSE,TRUE,53.01,49512,9.39,3,4
AEAP20142,11,0,1996,SATRUCHERLA VIJAYA RAMARAJU,,Andhra_Pradesh,PARVATHIPURAM,ST,NTRTDP(LP),INC,100835,M,3,4,TRUE,TRUE,17.42,90439,15.63,3,4
AEAP20142,12,0,1998,VIJAYA RAMARAJU SETRUCHARLA,,Andhra_Pradesh,PARVATHIPURAM,ST,TDP,NTRTDP(LP),299904,M,1,4,TRUE,FALSE,50.55,23277,3.92,3,4
AEAP23017,6,0,1977,SULTAN SALAHUDDIN OWAISI,,Andhra_Pradesh,HYDERABAD,GEN,IND,,91227,M,2,6,FALSE,FALSE,26.85,4538,1.34,5,6
AEAP23017,8,0,1984,SULTAN SALAHUDDIN OWAISE,,Andhra_Pradesh,HYDERABAD,GEN,IND,IND,222187,M,1,6,FALSE,FALSE,38.13,3481,0.6,5,6
AEAP23017,9,0,1989,SULTAN SALAHUDDIN OWAISI,,Andhra_Pradesh,HYDERABAD,GEN,MIM,IND,403625,M,1,6,FALSE,TRUE,45.91,133078,15.14,5,6
AEAP23017,10,0,1991,SULTAN SALAHUDDIN OWAISI,,Andhra_Pradesh,HYDERABAD,GEN,MIM,MIM,454823,M,1,6,FALSE,TRUE,46.18,39524,4.01,5,6
AEAP23017,11,0,1996,SULTAN SALAHUDDIN OWAISI,,Andhra_Pradesh,HYDERABAD,GEN,AIMIM,MIM,321045,M,1,6,FALSE,TRUE,34.57,73273,7.89,5,6
AEAP23017,12,0,1998,SULTAN SALAHUDDIN OWAISI,,Andhra_Pradesh,HYDERABAD,GEN,AIMIM,AIMIM,485785,M,1,6,FALSE,TRUE,44.65,71612,6.58,5,6
AEAP8059,11,0,1996,BHUMA VENKATA NAGI REDDY,GEN,Andhra_Pradesh,NANDYAL,GEN,TDP,,267901,M,2,3,FALSE,FALSE,36.86,193823,26.67,2,2
AEAP8059,11,1,1996,Bhuma Nagi Reddy,GEN,Andhra_Pradesh,NANDYAL,GEN,TDP,TDP,567042,F,1,3,FALSE,FALSE,80.94,440150,62.83,2,2
