pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEKL110713,3,0,1965,V. Z. JOB,,Kerala,KUTTANAD,CON,,15067,M,2,1,FALSE,FALSE,30.67,7383,15.03,,,1
AEKL110718,3,0,1965,C. B. CHANDRASEKHARA WARRIER,,Kerala,HARIPAD,CPM,,17178,M,2,1,FALSE,FALSE,30.81,2248,4.03,,,1
AEKL110720,3,0,1965,SUKUMARAN,,Kerala,KAYAMKULAM,CPM,,17522,M,1,2,FALSE,FALSE,33.47,343,0.66,,1,1
AEKL110720,3,0,1965,SUKUMARAN,,Kerala,KONNI,CPM,CPM,1802,M,4,2,FALSE,FALSE,3.7,0,0,,1,1
AEKL110722,3,0,1965,K. K. MUHAMMED,,Kerala,KAYAMKULAM,KC,,15519,M,3,1,FALSE,FALSE,29.65,14321,27.36,,,1
AEKL110726,3,0,1965,K. KURIAN JOSEPH,,Kerala,THIRUVALLA,CON,,12899,M,2,1,FALSE,FALSE,24.8,3995,7.68,,,1
AEKL110727,3,0,1965,PARAMESWARAN NAMPOOTHIRY,,Kerala,THIRUVALLA,SSP,,8904,M,3,1,FALSE,FALSE,17.12,6506,12.51,,,1
AEKL110729,3,0,1965,GEORGE THOMAS,,Kerala,KALLOOPPARA,KC,,25422,M,1,1,FALSE,FALSE,57.7,15648,35.52,,1,1
AEKL110730,3,0,1965,K. R. KESHAVA PILLAI,,Kerala,KALLOOPPARA,CPM,,9774,M,2,1,FALSE,FALSE,22.19,2229,5.06,,,1
AEKL110731,3,0,1965,M M. MATHAI,,Kerala,KALLOOPPARA,CON,,7545,M,3,1,FALSE,FALSE,17.13,6902,15.67,,,1
AEKL110735,3,0,1965,N. BHASKARAN NAIR,,Kerala,ARANMULA,KC,,22000,M,1,1,FALSE,FALSE,45.62,4969,10.3,,1,1
AEKL110736,3,0,1965,K. VELAYUDHAN NAIR,,Kerala,ARANMULA,CON,,17031,M,2,1,FALSE,FALSE,35.32,9933,20.6,,,1
AEKL110738,3,0,1965,BALAKRISHNAN,,Kerala,ARANMULA,CPI,,2094,M,4,1,FALSE,FALSE,4.34,0,0,,,1
AEKL110739,3,0,1965,K. R. SARASWATHI AMMA,,Kerala,CHENGANNUR,KC,,26248,F,1,1,FALSE,FALSE,50.23,14113,27.01,,1,1
AEKL110740,3,0,1965,N. S. KRISHNA PILLAI,,Kerala,CHENGANNUR,CON,,12135,M,2,1,FALSE,FALSE,23.22,725,1.39,,,1
AEKL110743,3,0,1965,R. SANKARANARAYANAN THAMPI,,Kerala,CHENGANNUR,CPI,,505,M,5,1,FALSE,FALSE,0.97,0,0,,,1
AEKL110744,3,0,1965,K. K. CHELLAPPAN PILLAI,,Kerala,MAVALIKARA,CON,,19391,M,1,1,FALSE,FALSE,36.85,5333,10.14,,1,1
AEKL110745,3,0,1965,G. GOPINATHA PILLAI,,Kerala,MAVALIKARA,SSP,,14058,M,2,1,FALSE,FALSE,26.72,319,0.61,,,1
AEKL110746,3,0,1965,K. R. KESAVA PILLAI,,Kerala,MAVALIKARA,KC,,13739,M,3,1,FALSE,FALSE,26.11,9310,17.69,,,1
AEKL110747,3,0,1965,N. GOPALA KURUP,,Kerala,MAVALIKARA,CPI,,4429,M,4,1,FALSE,FALSE,8.42,3431,6.52,,,1
AEKL110749,3,0,1965,P. K. KUNJACHAN,,Kerala,PANDALAM,CPM,,20241,M,1,1,FALSE,FALSE,38.07,5150,9.69,,1,1
AEKL110750,3,0,1965,T. KANDANKALY,,Kerala,PANDALAM,CON,,15091,M,2,1,FALSE,FALSE,28.39,1811,3.41,,,1
AEKL110751,3,0,1965,K. V. ACHUTHAN,,Kerala,PANDALAM,KC,,13280,M,3,1,FALSE,FALSE,24.98,9237,17.37,,,1
AEKL110752,3,0,1965,G. RAJAPPAN,,Kerala,PANDALAM,CPI,,4043,M,4,1,FALSE,FALSE,7.6,3534,6.65,,,1
AEKL110754,3,0,1965,E. M. THOMAS,,Kerala,RANNI,KC,,21707,M,1,1,FALSE,FALSE,46.88,7702,16.63,,1,1
AEKL110755,3,0,1965,M. SANNY,,Kerala,RANNI,CON,,14005,M,2,1,FALSE,FALSE,30.25,6460,13.95,,,1
AEKL110756,3,0,1965,N. SADANANDAN,,Kerala,RANNI,CPI,,7545,M,3,1,FALSE,FALSE,16.3,5487,11.85,,,1
AEKL110757,3,0,1965,S. CHANDRASEGHARAN PILLAI,,Kerala,RANNI,CPM,,2058,M,4,1,FALSE,FALSE,4.44,1073,2.32,,,1
AEKL110760,3,0,1965,K. KARUNAKARAN NAIR,,Kerala,PATHANAMTHITTA,IND,,19222,M,2,2,FALSE,FALSE,35.37,8752,16.1,,,1
AEKL110760,3,0,1965,K. KARUNAKARAN NAIR,,Kerala,ADOOR,IND,IND,1216,M,5,2,FALSE,FALSE,2.41,495,0.98,,,1
AEKL110761,3,0,1965,N. G. CHACKO,,Kerala,PATHANAMTHITTA,CON,,10470,M,3,1,FALSE,FALSE,19.26,10384,19.11,,,1
AEKL110763,3,0,1965,P. J. THOMAS,,Kerala,KONNI,CON,,17064,M,1,1,FALSE,FALSE,35.03,2092,4.29,,1,1
AEKL110765,3,0,1965,P. R. MADHAVAN PILLAI,,Kerala,KONNI,CPI,,14879,M,3,1,FALSE,FALSE,30.54,13077,26.84,,,1
AEKL110767,3,0,1965,P. C. ADICHAN,,Kerala,PARTHANAPURAM,CPI,,13948,M,1,1,FALSE,FALSE,34.61,776,1.93,,1,1
AEKL110768,3,0,1965,P. K. RAMACHANDRA DAS,,Kerala,PARTHANAPURAM,CON,,13172,M,2,1,FALSE,FALSE,32.69,2955,7.33,,,1
AEKL110769,3,0,1965,P. S. VELUTHA KUNJU,,Kerala,PARTHANAPURAM,KC,,10217,M,3,1,FALSE,FALSE,25.35,7653,18.99,,,1
AEKL110770,3,0,1965,KOCHUKUNJU,,Kerala,PARTHANAPURAM,SSP,,2564,M,4,1,FALSE,FALSE,6.36,2166,5.37,,,1
AEKL110772,3,0,1965,C. M. STEPHEN,,Kerala,PUNALOOR,CON,,14599,M,1,1,FALSE,FALSE,31.64,812,1.76,,1,1
AEKL110773,3,0,1965,K. KRISHNA PILLAI,,Kerala,PUNALOOR,CPI,,13787,M,2,1,FALSE,FALSE,29.88,2277,4.93,,,1
AEKL110776,3,0,1965,D. DAMODARAN POTTY,,Kerala,CHANDAYAMANGLAM,SSP,,16291,M,1,1,FALSE,FALSE,34.45,22,0.05,,1,1
AEKL110777,3,0,1965,N. BHASKARAN PILLAI,,Kerala,CHANDAYAMANGLAM,CON,,16269,M,2,1,FALSE,FALSE,34.4,2062,4.36,,,1
AEKL110778,3,0,1965,V. GANGADHARAN,,Kerala,CHANDAYAMANGLAM,CPI,,14207,M,3,1,FALSE,FALSE,30.04,13679,28.92,,,1
AEKL110782,3,0,1965,T. K. KURIKES,,Kerala,KOTTARAKARA,CON,,10052,M,3,1,FALSE,FALSE,17.29,9448,16.25,,,1
AEKL110784,3,0,1965,PAPPACHEN,,Kerala,KOTTARAKARA,CPM,,561,M,5,1,FALSE,FALSE,0.96,0,0,,,1
AEKL110785,3,0,1965,T. KRISHNAN,,Kerala,KUNNATHUR,KC,,15734,M,1,1,FALSE,FALSE,31.6,3437,6.9,,1,1
AEKL110786,3,0,1965,T. KESAVAN,,Kerala,KUNNATHUR,CPI,,12297,M,2,1,FALSE,FALSE,24.7,2132,4.28,,,1
AEKL110787,3,0,1965,K. CHANDRASEKHARA SASTRI,,Kerala,KUNNATHUR,CON,,10165,M,3,1,FALSE,FALSE,20.42,476,0.96,,,1
AEKL110788,3,0,1965,K. C. NANOO,,Kerala,KUNNATHUR,CPM,,9689,M,4,1,FALSE,FALSE,19.46,8058,16.19,,,1
AEKL110791,3,0,1965,K. K. GOPALAN NAIR,,Kerala,ADOOR,KC,,17651,M,1,1,FALSE,FALSE,34.93,2364,4.68,,1,1
AEKL110792,3,0,1965,P. RAMALINGA AYYAR,,Kerala,ADOOR,CPI,,15287,M,2,1,FALSE,FALSE,30.25,6422,12.71,,,1
AEKL110793,3,0,1965,K. S. PARAMESWARAN PILLAI,,Kerala,ADOOR,CON,,8865,M,3,1,FALSE,FALSE,17.54,2074,4.1,,,1
AEKL110794,3,0,1965,N. RAMACHANDRAN UNNITHAN,,Kerala,ADOOR,CPM,,6791,M,4,1,FALSE,FALSE,13.44,5575,11.03,,,1
AEKL110797,3,0,1965,M. K. HEMACHANDRAN,,Kerala,KRISHNAPURAM,CON,,19842,M,1,1,FALSE,FALSE,38.62,3613,7.03,,1,1
AEKL110798,3,0,1965,UNNIKRISHNA PILLAI,,Kerala,KRISHNAPURAM,CPI,,16229,M,2,1,FALSE,FALSE,31.59,925,1.8,,,1
AEKL110799,3,0,1965,K. O. AISHA BAI,,Kerala,KRISHNAPURAM,CPM,,15304,F,3,1,FALSE,FALSE,29.79,0,0,,,1
AEKL110800,3,0,1965,KUNJUKRISHNAN,,Kerala,KARUNAGAPALLY,CON,,19762,M,1,1,FALSE,FALSE,34.97,2294,4.06,,1,1
AEKL110801,3,0,1965,BHASI,,Kerala,KARUNAGAPALLY,IND,,17468,M,2,1,FALSE,FALSE,30.91,8757,15.49,,,1
AEKL110805,3,0,1965,HENRY AUSTIN,,Kerala,QUILON,CON,,13749,M,1,1,FALSE,FALSE,28.63,250,0.52,,1,1
AEKL110807,3,0,1965,DAN GONZAGO,,Kerala,QUILON,KC,,11047,M,3,1,FALSE,FALSE,23,1316,2.74,,,1
AEKL110808,3,0,1965,C. M. MYTHEEN KUNJU,,Kerala,QUILON,CPM,,9731,M,4,1,FALSE,FALSE,20.26,0,0,,,1
AEKL110809,3,0,1965,SANKARA NARAYANA PILLAI,,Kerala,KUNDARA,CON,,20166,M,1,1,FALSE,FALSE,34.13,6040,10.22,,1,1
AEKL110810,3,0,1965,CHITHARANJAN,,Kerala,KUNDARA,CPI,,14126,M,2,1,FALSE,FALSE,23.91,1116,1.89,,,1
AEKL110811,3,0,1965,GILLARIOS,,Kerala,KUNDARA,CPM,,13010,M,3,1,FALSE,FALSE,22.02,1221,2.07,,,1
AEKL110812,3,0,1965,CYRIL SE BASTIAN,,Kerala,KUNDARA,KC,,11789,M,4,1,FALSE,FALSE,19.95,0,0,,,1
AEKL110813,3,0,1965,ABDUL RAHIM,,Kerala,ERAVIPURAM,CON,,19114,M,1,1,FALSE,FALSE,36.81,656,1.26,,1,1
AEKL110814,3,0,1965,SANKARAN UNNI,,Kerala,ERAVIPURAM,IND,,18458,M,2,1,FALSE,FALSE,35.55,6052,11.66,,,1
