pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMZ1589,5,0,1987,LALHMINGTHANGA,,Mizoram,LUNGLEI NORTH,PPC,PPC,1803,M,2,3,FALSE,FALSE,31.61,597,10.47,,,2,3
AEMZ1595,2,0,1978,P. SIAMLIANA,,Mizoram,TAWI PUI,IND,,637,M,3,2,FALSE,FALSE,15.39,95,2.29,,,1,2
AEMZ1595,5,0,1987,SIAMLIANA,,Mizoram,TAWIPUI,IND,IND,3092,M,1,2,FALSE,FALSE,49.19,1299,20.66,,,1,2
AEMZ1641,2,0,1978,LALZAWMLIANA,,Mizoram,RATU,IND,,851,M,3,2,FALSE,FALSE,18.65,59,1.29,,,,2
AEMZ1641,5,0,1987,LALZAWMLIANA,,Mizoram,TLUNGVEL,PPC,IND,1520,M,2,2,FALSE,FALSE,31.4,2,0.04,,,,2
AEMZ1737,1,0,1972,HARI KRISTO CHAKMA,,Mizoram,DEMAGIRI,INC,,2126,M,1,5,FALSE,FALSE,89.29,1871,78.58,,,5,5
AEMZ1737,2,0,1978,HARIKRISTO,,Mizoram,DEMAGIRI,IND,INC,1766,M,1,5,FALSE,TRUE,53.96,893,27.28,,,5,5
AEMZ1737,3,0,1979,HARI KRISTO CHAKMA,,Mizoram,DEMAGIRI,INC(I),IND,1296,M,1,5,FALSE,TRUE,36.16,21,0.59,,,5,5
AEMZ1737,4,0,1984,HARIKRISTO,,Mizoram,DEMAGIRI,INC,INC(I),1759,M,1,5,TRUE,TRUE,35.54,122,2.46,,,5,5
AEMZ1737,5,0,1987,HARIKRISTO,,Mizoram,TLABUNG,INC,INC,2115,M,1,5,FALSE,TRUE,39.36,691,12.86,,,5,5
AEMZ1775,1,0,1972,LALHLIRA,,Mizoram,CHAMPHAI,IND,,1887,M,1,3,FALSE,FALSE,49.35,384,10.04,,,2,3
AEMZ1775,4,0,1984,LALHLIRA,,Mizoram,CHAMPHAI,INC,IND,2693,M,1,3,FALSE,FALSE,40.2,276,4.12,,,2,3
