pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEAR80989,9,0,2014,TAMAR MURTEM,ST,Arunachal_Pradesh,RAGA,BJP,,6401,M,1,1,FALSE,FALSE,49.54,21,0.16,53,,1,1
AEAR80990,7,0,2004,NIDO PAVITRA,ST,Arunachal_Pradesh,RAGA,IND,,4258,M,1,3,FALSE,FALSE,39.58,1229,11.43,42,,2,3
AEAR80990,8,0,2009,SRI NIDO PAVITRA,ST,Arunachal_Pradesh,RAGA,INC,IND,5460,M,1,3,FALSE,TRUE,40.64,1186,8.83,42,,2,3
AEAR80990,9,0,2014,NIDO PAVITRA,ST,Arunachal_Pradesh,RAGA,INC,INC,6380,M,2,3,FALSE,TRUE,49.38,6241,48.3,43,,2,3
AEAR80991,9,0,2014,PAKNGA BAGE,ST,Arunachal_Pradesh,DUMPORIJO,IND,,5500,M,1,1,FALSE,FALSE,56.64,1357,13.97,38,,1,1
AEAR80994,8,0,2009,BAI GADI,ST,Arunachal_Pradesh,LIROMOBA,BJP,,2748,M,2,3,FALSE,FALSE,29.27,0,0,44,,,2
AEAR80994,9,0,2014,BAIGADI,ST,Arunachal_Pradesh,LIROMOBA,BJP,BJP,4179,M,2,3,FALSE,FALSE,42.49,4044,41.12,50,,,2
AEAR80994,9,1,2015,Bai Gadi,,Arunachal_Pradesh,LIROMOBA,BJP,BJP,3689,M,2,3,FALSE,FALSE,35.2,1100,10.5,,,,2
AEAR80996,9,1,2015,Nyamar Karbak,,Arunachal_Pradesh,LIROMOBA,INC,,3808,M,1,1,FALSE,FALSE,36.33,119,1.14,,,1,1
AEAR81002,8,0,2009,YAI MARA,ST,Arunachal_Pradesh,LIKABALI,AITC,,2527,F,2,2,FALSE,FALSE,29.84,50,0.59,50,,,2
AEAR81002,9,0,2014,YAIMARA,ST,Arunachal_Pradesh,LIKABALI,IND,AITC,2972,F,2,2,FALSE,FALSE,34.57,1042,12.12,55,,,2
AEAR81005,5,0,1995,GOJEN GADI,,Arunachal_Pradesh,BASAR,INC,,4360,M,2,5,FALSE,FALSE,44.74,4113,42.21,,,3,5
AEAR81005,6,0,1999,GOJEN GADI,,Arunachal_Pradesh,BASAR,IND,INC,3372,M,2,5,FALSE,FALSE,32.89,1413,13.78,,,3,5
AEAR81005,7,0,2004,SRI GOJEN GADI,ST,Arunachal_Pradesh,BASAR,IND,IND,7755,M,1,5,FALSE,FALSE,64.38,3464,28.76,50,,3,5
AEAR81005,8,0,2009,GOJEN GADI,ST,Arunachal_Pradesh,BASAR,INC,IND,8438,M,1,5,FALSE,TRUE,60.86,3121,22.51,50,,3,5
AEAR81005,9,0,2014,GOJEN GADI,ST,Arunachal_Pradesh,BASAR,INC,INC,7206,M,1,5,FALSE,TRUE,56.45,1799,14.09,56,,3,5
